,Artist,Album,Song Title,Producer,Lyrics
0,Avril Lavigne,Avril Lavigne,17,Martin Johnson,"(Seventeen, seventeen) (Seventeen, seventeen)  He was working at the record shop I would kiss him in the parking lot Tasted like cigarettes and soda pop Seventeen (Seventeen) He would tell me I was beautiful Sneaking in the neighbor's swimming pool Yeah, he taught me how to break the rules Seventeen  Hey, those days are long gone But when I hear that song It takes me back  We were on top of the world, back when I was your girl We were living so wild and free Acting stupid for fun, all we needed was love That's the way it's supposed to be Seventeen (Seventeen, seventeen) You might also like Stealing beers out of the trailer park Flicking lighters just to fight the dark My favorite place was sittin' in his car Seventeen (Seventeen) We laid a blanket on the rooftop That time I knew I wouldn't make him stop The nights were cold, but we kept 'em hot Seventeen (Seventeen)  Hey, those days are long gone But when I hear that song It takes me back  We were on top of the world, back when I was your girl We were living so wild and free Acting stupid for fun, all we needed was love That's the way it's supposed to be We were running red lights, we were going all night Didn't care about anything 'Cause it was you and me, we were living the dream And we were seventeen  Oh-oh-oh, oh-oh-oh, oh (Seventeen) Oh-oh-oh, oh-oh-oh, oh (Seventeen) Yeah, I remember what it felt like Just a small-town kinda life If I could only just go back in time Seventeen  We were on top of the world, back when I was your girl We were living so wild and free (Wild and free) Acting stupid for fun, all we needed was love That's the way it's supposed to be We were running red lights, we were going all night Didn't care about anything 'Cause it was you and me, we were living the dream And we were seventeen  Seventeen (Seventeen, seventeen) Seventeen (Seventeen, seventeen, seventeen) Seventeen3Embed"
1,Avril Lavigne,N/A,17 (Demo),Martin Johnson,"(Seventeen, seventeen) (Seventeen, seventeen)  He was working at the record shop I would kiss him in the parking lot Tasted like cigarettes and soda pop Seventeen (Seventeen) He would tell me I was beautiful Sneaking in the neighbor's swimming pool Yeah, he taught me how to break the rules Seventeen (Seventeen, seventeen)  Hey, those days are long gonе But when I hear that song It takes mе back  We were on top of the world, back when I was your girl We were living so wild and free Acting stupid for fun, all we needed was love That's the way it's supposed to be Seventeen (Seventeen, seventeen) You might also like Stealing beers out of the trailer park Flicking lighters just to fight the dark My favorite place was sittin' in his car Seventeen (Seventeen) We laid a blanket on the rooftop That time I knew I wouldn't make him stop The nights were cold, but we kept 'em hot Seventeen  Hey, those days are long gone But when I hear that song It takes me back  We were on top of the world, back when I was your girl We were living so wild and free Acting stupid for fun, all we needed was love That's the way it's supposed to be We were running red lights, we were going all night Didn't care about anything We were living the dream, it was you and me And we were seventeen  Oh-oh-oh, oh-oh-oh, oh (Seventeen, seventeen) Oh-oh-oh, oh-oh-oh, oh (Seventeen, seventeen) Yeah, I remember what it felt like Just a small-town kinda life If I could only just go back in time Seventeen  We were on top of the world, back when I was your girl We were living so wild and free Acting stupid for fun, all we needed was love That's the way it's supposed to be We were running red lights, we were going all night Didn't care about anything We were living the dream, it was you and me And we were seventeen  Seventeen (Seventeen, seventeen) Seventeen (Seventeen, seventeen, seventeen)Embed"
2,Avril Lavigne,Goodbye Lullaby ,4 Real,Avril Lavigne,"If I show you Get to know you If I hold you just for today I'm not gonna wanna let go I'm not gonna wanna go home Tell me you feel the same  'Cause I'm for real, are you for real? I can't help myself, it's the way I feel When you look me in the eyes like you did last night I can't stand to hear you say goodbye Well it feels so right, 'cause it feels so right Just to have you standing by my side So don't let me go, 'cause you have my soul And I just wanted you to know  I don't wanna look back 'Cause I know that we have Something the past could never change And now I'm stuck in the moment And my heart is open Tell me that you feel the same, oh You might also like 'Cause I'm for real, are you for real? I can't help myself, it's the way I feel When you look me in the eyes like you did last night I can't stand to hear you say goodbye Well it feels so right, 'cause it feels so right Just to have you standing by my side So don't let me go, 'cause you have my soul And I just wanted you to know  Hold (Hold) me down (Me down) Hold (Hold) me now I'm safe (I'm safe), I'm sound (Sound) When you're around Hold (Hold) me down (Me down) Hold (Hold) me now I'm safe (I'm safe), I'm sound (Sound) When you're around  'Cause I'm for real, are you for real? I can't help myself, it's the way I feel When you look me in the eyes like you did last night I can't stand to hear you say goodbye Well it feels so right, 'cause it feels so right Just to have you standing by my side So don't let me go, 'cause you have my soul And I just wanted you to know (I'm for real) 'Cause I'm for real, are you for real? I can't help myself, it's the way I feel (The way I feel) When you look me in the eyes like you did last night I can't stand to hear you say goodbye (Feels so right) Well it feels so right, 'cause it feels so right Just to have you standing by my side (By my side) So don't let me go, 'cause you have my soul And I just wanted you to know3Embed"
3,Avril Lavigne,N/A,Adia,NA,"Adia, I do believe I failed you Adia, I know I've let you down Don't you know I've tried so hard To love you in my way? It's easy, let it go Adia, I'm empty since you left me I'm tryin' to find a way to carry on I search myself and everyone To see where we went wrong  There's no one left to finger There's no one here to blame There's no one left to talk to, honey And there ain't no one to buy our innocence  'Cause we are born innocent Believe me, Adia We are still innocent It's easy, we all falter But does it matter?  Adia, I thought that we could make it I know I can't change the way you feel I leave you with your misery A friend who won't betray You might also like I pull you from your tower I take away your pain Show you all the beauty you possess If you'd only let yourself believe  That we are born innocent Believe me, Adia We are still innocent It's easy, we all falter But does it matter?  We are born innocent Believe me, Adia We are still innocent It's easy, we all falter But does it matter?  Believe me, Adia We are still innocent 'Cause we are born innocent Believe me, Adia We are still innocent It's easy, we all falter But does it matter?Embed"
4,Avril Lavigne,Control Room - Live EP,Adia (MSN Control Room),Pierre Marchand,"Adia, I do believe I failed you Adia, I know I've let you down Don't you know I've tried so hard To love you in my way? It's easy, let it go Adia, I'm empty since you left me I'm tryin' to find a way to carry on I search myself and everyone To see where we went wrong  There's no one left to finger There's no one here to blame There's no one left to talk to, honey And there ain't no one to buy our innocence  'Cause we are born innocent Believe me, Adia We are still innocent It's easy, we all falter But does it matter?  Adia, I thought that we could make it I know I can't change the way you feel I leave you with your misery A friend who won't betray You might also like I pull you from your tower I take away your pain Show you all the beauty you possess If you'd only let yourself believe  That we are born innocent Believe me, Adia We are still innocent It's easy, we all falter But does it matter?  We are born innocent Believe me, Adia We are still innocent It's easy, we all falter But does it matter?  Believe me, Adia We are still innocent 'Cause we are born innocent Believe me, Adia We are still innocent It's easy, we all falter But does it matter?2Embed"
5,Avril Lavigne,N/A,Airplanes,NA," Can we pretend that airplanes In the night skies are like shooting stars? I could really use a wish right now Right now, right now Can we pretend that airplanes In the night skies are like shooting stars? I could really use a wish right now Wish right now, wish right now  Can we pretend that airplanes In the night skies are like shooting stars? I could really use a wish right now Right now, right now Can we pretend that airplanes In the night skies are like shooting stars? I could really use a wish right now Right now, right now  Let's go!You might also likeEmbed"
6,Avril Lavigne,Almost Alice (Music Inspired by the Motion Picture),Alice,Butch Walker,"Trippin' out, spinnin' around I'm underground, I fell down Yeah, I fell down I'm freakin' out, where am I now? Upside down and I can't stop it now It can't stop me now, oh  I, I'll get by I, I'll survive When the world's crashin' down When I fall and hit the ground I will turn myself around Don't you try to stop me I, I won't cry  I found myself (myself) in Wonderland Get back on (back on) my feet again Is this real? (This real?) Is it pretend? I'll take a stand (a stand) until the end  I, I'll get by I, I'll survive When the world's crashin' down When I fall and hit the ground I will turn myself around Don't you try to stop me I, I won't cry You might also like I, I'll get by I, I'll survive When the world's crashin' down When I fall and hit the ground I will turn myself around Don't you try to stop me I, and I won't cry7Embed"
7,Avril Lavigne,Goodbye Lullaby ,Alice (Extended Version),Butch Walker,"Trippin' out, spinnin' around I'm underground, I fell down Yeah, I fell down I'm freakin' out, where am I now? Upside down and I can't stop it now You can't stop me now, oh  I, I'll get by I, I'll survive When the world's crashin' down When I fall and hit the ground I will turn myself around Don't you try to stop me I, I won't cry  I'll play the game, but I can't stay I've got my head on straight and I'm not gonna change I'm not gonna change I'll win the race, keep up with the pace Today's the day that I start to pray You can't get in my way, no  I, I'll get by I, I'll survive When the world's crashin' down When I fall and hit the ground I will turn myself around Don't you try to stop me I, I won't cry You might also like I found myself (Myself) in Wonderland Get back on (Back on) my feet again Is this real? (This real?) Is it pretend? I'll take a stand (A stand) until the end  I, I'll get by I, I'll survive When the world's crashin' down When I fall and hit the ground I will turn myself around Don't you try to stop me I, I won't cry  I, I'll get by I, I'll survive When the world's crashin' down When I fall and hit the ground I will turn myself around Don't you try to stop me I, and I won't cry3Embed"
8,Avril Lavigne,N/A,Alice (Jim Jonsin Version),Jim Jonsin,"Trippin' out, spinnin' around I'm underground, I fell down Yeah, I fell down I'm freakin' out, where am I now? Upside down and I can't stop it now You can't stop me now, oh  I, I'll get by I, I'll survive When the world's crashin' down When I fall and hit the ground I will turn myself around Don't you try to stop me I, I won't cry  I'll play the game, but I can't stay I've got my head on straight and I'm not gonna change I'm not gonna change I'll win the race, keep up with the pace Today's the day that I start to pray You can't get in my way, no  I, I'll get by I, I'll survive When the world's crashin' down When I fall and hit the ground I will turn myself around Don't you try to stop me I, I won't cry You might also like I found myself (Myself) in Wonderland Get back on (Back on) my feet again Is this real? (This rеal?) Is it pretend? I'll take a stand (A stand) until thе end  I, I'll get by I, I'll survive When the world's crashin' down When I fall and hit the ground I will turn myself around Don't you try to stop me I, I won't cry  I, I'll get by I, I'll survive When the world's crashin' down When I fall and hit the ground I will turn myself around Don't you try to stop me I, and I won't cryEmbed"
9,Avril Lavigne,N/A,All Because of You,Butch Walker,"What the hell happened to me? I've become such a mess I'm a walking disaster On a road full of stress You got all that you wanted You got the good part of me And I'm getting kind of dizzy From this crazy disease  So get me a doctor I need a repair I'm pushing my limits And pulling out my hair  And it's all because of you I just run into walls and trip over my shoes I get up, I fall down, every time you come around I'm not cool It's all because of you It's all because of you  You've got me spinning like a record That's already worn out And I'm kicking and I'm screaming And repeating myself I gotta hold mysеlf together and not fall apart If it's gonna be forеver tell me where do I start You might also like So send me a signal Up in the air You're pushing my buttons I'm pulling out my hair  And it's all because of you I just run into walls and trip over my shoes I get up, I fall down, every time you come around I'm not cool It's all because of you I can't help it Can't stop it I know it's all your fault But I like it and you love me Yeah yeah yeah  It's all because of you I just run into walls and trip over my shoes I get up, I fall down, every time you come around I'm not cool It's all because and it's all because of you I just run into walls and trip over my shoes I get up, I fall down, every time you come around I'm not cool It's all because of you It's all because of youEmbed"
