,Artist,Album,Song Title,Producer,Lyrics
0,Drake,N/A,?,NA,
1,Drake,#FYM12,0 to 100 / The Catch Up,Vinylz & Ging & Boi-1da & 40 & Nineteen85," Fuck bein' on some chill shit We go 0 to 100, nigga, real quick They be on that rap-to-pay-the-bills shit And I don't feel that shit, not even a little bit Oh, Lord, know yourself, know your worth, nigga My actions been louder than my words, nigga How you so high, but still so down to Earth, nigga? Niggas wanna do it, we can do it on they turf, nigga Oh, Lord, I'm the rookie and the vet Shoutout to the bitches out here holdin' down the set All up in my phone, lookin' at pictures from the other night She gon' be upset if she keep scrollin' to the left, dawg She gon' see some shit that she don't wanna see She ain't ready for it If I ain't the greatest, then I'm headed for it Yeah, that mean I'm way up (Way up) Yeah, the 6 ain't friendly, but that's where I lay up This shit a mothafuckin' lay-up I been Steph Curry with the shot Been cookin' with the sauce, Chef Curry with the pot, boy 360 with the wrist, boy Ayy, who the fuck them niggas is, boy? OVO, man, we really with the shits, boy Yeah, really with the shits I should prolly sign to Hit-Boy 'cause I got all the hits, boy Fuck all that ""Drake, you gotta chill"" shit I be on my Lil Mouse drill shit Fuck all that rap-to-pay-your-bills shit Yeah, I'm on some Raptors-pay-my-bills shit All up on TV, I thought it'd make me richer Wasn't payin' me enough, I needed somethin' quicker So now I'm all in Niko basement puttin' work in on the phones Either that or drive to Money Mart to make the pickups Man, it's 2008, I'm tryna paint the picture Comeback Season in the works and now I'm thinkin' bigger I got 40 in the studio, every night, late night Gotta watch that shit, don't want to make him sicker That's my nigga Oh, Lord, got a whole lot to show for it I mean, we can really get it, we can go for it I'm just here for the bucks and the billis, nigga Don't make me kill one of the GOATs for it I run this shit, they like, ""Go Forrest Run Forrest, run Forrest, go Forrest"" Yeah, I mean you already wrote for us Damn, nigga, what's one more quote for us? Oh, Lord, who else soundin' like this? They ain't make me what I am, they just found me like this I was ready... fuck that, I've been ready Since my dad used to tell me He was comin' to the house to get me He ain't show up Valuable lesson, man, I had to grow up That's why I never ask for help I'll do it for you niggas and do it for myself You might also like I go 0 to 100, nigga, real quick Real quick, whole squad on that real shit 0 to 100, nigga, real quick Real quick, real fuckin' quick, nigga 0 to 100, nigga, real quick Real quick, whole squad on that real shit 0 to 100, nigga, real quick Real quick, real fuckin' quick, nigga  Whole squad on that real shit Whole squad on that real shit Whole squad on that real shit, yeah  The other night Lavish Lee told me that I'm all these people listen to She said they love me unconditional Imagine how it feel to watch another nigga at the top You know that if you wasn't you, you would be dissin' you, dawg Damn, okay, from that perspective I see what you're talkin' 'bout, no way to soften that 'Cause me, I was tryna find out where I lost 'em at But maybe I ain't lose 'em at all Maybe I keep movin' forward and they're just stagnant They ain't movin' at all But when they need a favor, who do they call? Maybe I'm searchin' for the problems Askin' what was said and who was involved Too focused on people's feedback and provin' 'em wrong They say the shoe can always fit, no matter whose foot it's on These days feel like I'm squeezin' in 'em Whoever wore 'em before just wasn't thinkin' big enough I'm 'bout to leave 'em with 'em 'Cause if I run in the game in these, man, the seams are splittin' No pun intended but they're smellin' defeat in the air Headed where nobody took it, who meetin' me there? They tell him that he's talkin' crazy but he doesn't care Bein' humble don't work as well as bein' aware Listen up, boy, you're better off eavesdroppin' We already got spring 2015 poppin' PND droppin', Reps-up P droppin' Majid Jordan droppin', OB droppin', not to mention me droppin' Feel like we paid the refs off, man, we fixed the game Me and Noel been at it before Twitter names Yeah, been on the move like the lease is up And I can't even name one person that's keepin' up Damn, fuck how it was in the past tense Ask yourself, how do we match up now? 'Cause I'm only 27 and I'm only gettin' better If I haven't passed you yet, watch me catch up now, for real Could it be the way that I'll catch up Could it be the way that I'll catch up Could it be the way that I'll catch up Could it be the way that I'll catch up Could it be the way that I'll catch up Could it be the way that I'll catch up Could it be the way that I'll catch up Could it be the way that I'll catch up Could it be the way that I'll catch up 2.6KEmbed"
2,Drake,If You’re Reading This It’s Too Late,10 Bands,Ging & Sevn Thomas & Boi-1da,"10 Bands, 50 bands, 100 bands, fuck it, man Let's just not even discuss it, man OMG, niggas sleep, I ain't trippin', I'ma let 'em sleep I ain't trippin', let 'em rest in peace  I can tell ya how it happened I can tell ya 'bout them safe house nights out in Calabasas I can tell you not a rapper Tryna sell this story, I don't even open up the package Who you with? What you claim? I was payin' mama's rent when was I turning 17 Soda dirty like Diana never clean My ex asked me, ""Where you movin'?"" I said, ""On to better things""  10 Bands, 50 bands, 100 bands, fuck it, man Let's just not even discuss it, man OMG, niggas sleep, I ain't trippin', I'ma let 'em sleep I ain't trippin', let 'em rest in peace  I been in the crib with the phones off I been at the house taking no calls I done hit the stride got my shit goin' In the six cooking with the wrist motion Drapes closed, I don't know what time it is I'm still awake, I gotta shine this year I could never ever let the streets down Haven't left the condo for a week now You might also like 10 Bands, 50 bands, 100 bands, fuck it, man Let's just not even discuss it, man OMG, niggas sleep, I ain't trippin', I'ma let 'em sleep I ain't trippin', let 'em rest in peace  I've been on a mission, haven't left the condo This that OVO, that SZN, this that new Toronto I get boxes of free Jordan like I play for North Carolina How much I make off the deal, how the fuck should I know? All my watches always timeless, you can keep the diamonds Treatin' Diamonds of Atlanta like it's King of Diamonds Take a flick, I look like Meechy, look like Bleu DaVinci I treat V Live like it's 07 in Magic City Man, I told my city I'd be gone 'til November then November came Then I came, right back on my worst behav' 6 God, put both hands together, that's amazin' grace 6 God, selfish with the love, I need all the praise (woo) They got me feelin' like the one again (woo) They got me feelin' like the one again Yeah, shout goes out to Nike, checks all over me I need a FuelBand just to see how long the run has been  10 Bands, 50 bands, 100 bands, fuck it, man Let's just not even discuss it, man OMG, niggas sleep, I ain't trippin', I'ma let 'em sleep I ain't trippin', let 'em rest in peace I been in the crib with the phones off I been at the house takin' no calls I done hit the stride, got my shit going In the 6 cookin' with the wri-wri-wri-wri490Embed"
3,Drake,Tim Westwood I Freestyles,1Xtra Freestyle,Tim Westwood,"Who else really trying to mess with Hollywood Cole I'm with Marley G though Treating Birmingham just like my Hollywood shows I'm trying to tell you something that you probably should know This that Slum Dog Millionaire Bollywood flow and uh My real friends never hearing from me Fake friends write the wrong answers on the mirror for me That's why I pick and choose, I don't get shit confused I got a small circle, I'm not with different crews We walk the same path, but got on different shoes Live in the same building, but we got different views I got a couple cars, I never get to lose Don't like my women single, I like my chicks in twos And these days all the girls are down to roll We hit the strip club, and all them girls find a pole I live fast die young, never take it slow Tell your girl to tell a friend that it's time to go And tell me today's weather I know they say they good, but trust me I'm better I sound like the coldest Miami night ever I'm cold but still hot you can't decide on a sweater Really it's whatever I am murdering and this is so amusing If they're a sight to see then I am an illusion I tell you I'm the man baby what is the confusion And if they still sleeping on me, someone hit the snooze then And keep sleeping while I sell a couple million I'm headed for the moon, I ain't bout to hit the ceiling I'm about to hit the club, women tell me I'm appealing But fuck what they say let me tell you how I'm feeling I'm drinking These London street lamps got a real glow Dizzy playing driving fast but it feels slow And ask your man, he a hater, baby, he don't know I could kick a punt and turn that shit into a field goal This here was meant to get buried I got a lot of things, I mention those barely I ain't lying to the kids like the dentist ain't scary I'm what Lebron was to Saint Vincent, Saint Marry But I ain't playing high school games Pullin McLarence through a McDonalds drive through lane I'm to fly, I keep it hip hop like Afu-Ra Baby girl on that Mclaren You gotta lift the doors Blades chopping through the city streets, liquid swords I do it better than the best could You know what it is, Drake and Tim WestwoodYou might also like13Embed"
4,Drake,N/A,2,NA,
5,Drake,N/A,2011 Juno Awards In Toronto,NA,"You worked at McDonald's and I eat McDonald's We should be together, I think we should be together All these other girls they're totally crazy, oh, oh, oh Only you can make me feel the way I feel Damn, I'm dying to make you feel like a woman, babyYou might also like3Embed"
6,Drake,N/A,2016 MTV VMAs Vanguard Award Intro for Rihanna,NA,"Today the world knows Little X as Director X, they know me as Drake and not the kid singing while you order pasta. But eleven years later, they still know Rihanna as the one and only, Rihanna. Captivating from day one, the iconic being that is Rihanna was already at a place where most artists only dream of going. For them, that's often the peak, but for her, that was a starting point, as she has kept ascending to an untouchable level ever since. When it comes to music, she relentlessly takes over the charts with every release. When it comes to performances, they swarm in masses just to be in her presence... obviously... And when it comes to fashion and style, she makes it seem so effortless until you try to do it yourself, which is when it gets a little awkward. What's most impressive isn't the endless list of stats, awards and accomplishments. What's most impressive is the person. Some artists need to play a character to achieve success, some need to downplay their own natural instincts to blend in. She succeeds by doing something that no one in this industry does, which is being herself. This woman has surpassed all competition while still being the same girl from Barbados, surrounded by the same friends, speaking with the same accent and never missing a crop over unless it's to come and perform at OVO Fest. We love the music which can change styles from album to album. We love the videos which change their artistic vision from year to year. But most of all, we love the woman who hasn't changed since day one. She's someone, she's someone I've been in love with since I was 22 years old. She's one of my... she's one of my best friends in the world. All my adult life I've looked up to her even though she's younger than me. She's a living, breathing legend in our industry. Ladies and gentlemen, the recipient of the Michael Jackson Vanguard Award for 2016: Rihanna.3Embed"
7,Drake,N/A,24,Kanye West & Ojivolta & Warryn Campbell & Cory Henry & Brian Miller,"Dear God, make it alright Only You can make it alright Dear God, make it alright Nothing else ever feels right Dear God, make it alright Nothing else ever feels right Na-na-na, nothing else ever feels right  Exhausted Never the right time to go Never the right time to go Never the right time to— God loves you Loves when you choose your steps Gotta make it right 'fore you left Gotta make it right 'fore you— Evеrybody wanna feel like Everything's gon' be right Nеw me over the old me Let it out, let it all out God, please make it alright Nothing else ever feels right Nothing else ever feels right Nothing else ever feels— You might also like Save me, yeah, make it alright Bow our heads 'cause it's alright, alright, mm-mm Twenty-four hours (Twenty-four hours) Twenty-four candles (Twenty-four) Twenty-four hours (Twenty-four) Yeah, yeah Yeah, yeah, yeah, yeah, yeah Throw our hands up in the sky Yes, Lord, we put 'em high Yeah, yeah (Oh yeah, oh yeah) Yeah, yeah  Yeah, know you're alive and God's not finished Know you're alive and God's not finished I know you're alive, God's not finished God's not finished, God's not— Know you're alive and God's not finished The Devil's a lie and God's not finished Devil's a lie and now he fin— Devil's a lie and now he finished Throw our hands up in the sky Yes, Lord, we wave 'em high  We gonna be okay, we gonna be okay We gonna be okay, we gonna be okay We gonna be okay, we gonna be okay God's not finished, God's not finished God's not finished, God's not finished God's not finished, God's not finished God's not finished, God's not finished God's not finished, God's not finished  God's not finished, God's not finished God's not finished, God's not finished LA's not finished, Ye's not finished Drake's not finished, V's not finished God's not finished, God's not finished God Throw our hands up in the sky Yes, Lord, we wave 'em highEmbed"
8,Drake,Nothing Was the Same,305 to My City (Ft. Detail),The Order & Detail,"Drop down, drop-drop (Shit is real out here) Drop down, drop-drop Drop-drop-drop down, drop-drop Get it (Yeah) Get it Drop down, drop-drop  Oooh, I got the 305 to my city I get it, I get it I get it, I get it I swear that I get it, I get it, I get it We did it, we did it We did it, we did it We so far from finished I brought you right back just so we can relive it  I get it, I get it I get it, I get it Your hustle don't ever go unnoticed, baby I'm with you, I'm with it, oh I get it, I get it I get it, I get it I get it, I get it You might also like They don't work hard as you Damn, that's so crazy At the end of the night when you count Numbers don't lie to my baby Locker room full of money Girl, you just did it I get it, I get it Man, fuck all that talking, take shots to the kidney Down payment on the Jaguar Your roommate got credit Twelve months on the lease That's a come-up, baby, don't you ever forget it Connections are heavy Every real nigga they fuck with you Nails chipped out in diamonds You sparkle, but fuck, man, the spark ain't enough for you  Oooh, I got the 305 to my city I get it, I get it I get it, I get it, I swear that I get it I get it, I get it We did it, we did it We did it, we did it We so far from finished I brought you right back just so we can relive it I get it, I get it I get it, I get it Your hustle don't ever go unnoticed, baby I'm with you, I'm with it, oh I get it, I get it I get it, I get it I get it, I get it  Tonight was your night Go get you some lobsters and shrimp You smart and you know it I get it, I get it, you outdo these pimps I hope you don't fall That's you on the top of the ceiling Don't you ever forget 'bout your story I get it, you did it, you did it Got a link on the champagne Your best friend is bartending Your parents saying this another phase in your life They can't wait until it's all finished Shine on them hoes Let 'em know that you run shit I get it, I get it I'm working too hard, let's get into some fun shit 281 to my city Heard you had trouble at customs Your girl got a DUI? I'll make the calls to get y'all through customs Tell your best friend, ""Girl, get your paperwork right"" I get it, I get it What's up for the night? Oooh, I got the 305 to my city I get it, I get it I get it, I get it, I swear that I get it I get it, I get it We just did it, we did it We did it, we did it We so far from finished I brought you right back just so we can relive it  I get it, get it, get it Drop down, drop-drop down I get it, get it, get it Drop down, drop-drop down  Your momma used to live at the church on Sunday You just go to LIV after church on Sunday, oh Lord Oh Lord, we're not in Kansas anymore We're not in Kansas anymore (Yeah)88Embed"
9,Drake,What a Time To Be Alive,30 for 30 Freestyle,40 & Maneesh,"Yeah  Never thought I'd be talkin' from this perspective But I'm not really sure what else you expected When the higher-ups have all come together as a collective With conspiracies to end my run and send me a message 40, did you get the message? 'Cause I just checked my phone and I didn't get it I mean, I'll say hats off for a solid effort But we didn't flinch for a second, we got our shit together (6) Yeah, not here to fight wars But niggas wanna talk high scores PARTY just dipped off in a white Porsche And I just came from dinner where I ate some well-done seared scallops that were to die for But I got bigger fish to fry I'm talkin' bigger shit than you and I Kids are losin' lives, got me scared of losin' mine And if I hold my tongue about it, I get crucified Wrote this shit on a bumpy flight on a summer night Flyin' over Chattanooga, out here tryna spread the movement I just got me the Mercedes Pullman You niggas never heard of it, you gotta hit up Google, yeah Back in the city, shit is gettin' brutal These kids'll hit your noodle, then take a girl to the movies They been droppin' out on both sides We ain't in it, we just ghostride The pen is workin' if you niggas need some ghost lines I thought you wanted yours like I want mine I guess you just makin' moves on your own time But just know it'll be January in no time And your absence is very concernin' It's like you went on vacation with no plan of returnin' Shit is purely for sport, I need a 30 for 30 Banners are ready case we need to retire your jersey, yeah I got a club in the Raptors arena Championship celebrations durin' regular season Paternity testin' for women that I never slept with I'm legally obligated if they request it So much legal action like I'm Michael Jackson Luckily, I'm great at avoidin' distraction Used to give no reaction, now I'm overreacting Aw, nigga, that shit gotta go platinum I just listened to ""Closer to My Dreams"" Wide-eyed and uneducated at nineteen I can't rap like that, all young and naïve Not after all the shit I seen and the things I believe Drastically changin', thank you for all your patience I'm just in a different space and I choose to embrace it Four thousand square feet just isn't as spacious You loved me back in the basement, guess it is what we make it I'm tired of awkward exchanges and niggas' crooked ways Tired of champagne toasts with people that look away Peyton and Eli when niggas called me they brother The season start and I don't wanna see you end up with nothin' Y'all throw the word ""family"" around too much in discussion Rookie season, I would've never thought this was comin' They knees give out and they passin' to you all of the sudden Now you the one gettin' buckets They put they arm around you, now you becomin' the crutches Kids got on your number 'cause you the one they look up to And women that you seen on TV look better in person And either they wanna fuck you Or convince you that they care and see where it goes from there, but These ain't the girls from Brampton, this ain't that local action The hate is just bringin' me and my people closer, actually What happened to the things you niggas said was supposed to happen? Are we just supposed to ignore the fact that it never happened? We just supposed to get the pie, then split it in two? Supposed to forget your mistakes, but not forget about you? My plan was always to make the product jump off the shelf And treat the money like secrets, keep the shit to ourself Papi champú, young Pablito de seis dios 6 G-O-D, I think I Was destined for this shit when I was 'round Keyshia Cole and T.I. And Young Dro was poppin' off with ""Ain't I"" Way before niggas had they hands out like they doin' macarena But, who am I to complain now? I'm still around, they know YeahYou might also like68Embed"
