,Artist,Album,Song Title,Producer,Lyrics
0,MIKE DEAN,4:23,118k,MIKE DEAN,
1,MIKE DEAN,4:22,ADRIFT,MIKE DEAN,
2,MIKE DEAN,4:22,ALL EARTHLINGS,MIKE DEAN,
3,MIKE DEAN,4:23,Artificial Intelligence (Ft. The Weeknd),MIKE DEAN & The Weeknd & Sam Levinson,"I want you to get that robe from my closet And tie it around my face (And tie it around my face), and fuck me 'till you feel me black out  Oh-huh, oh-huh Oh, oh-oh You could have me on my knees Like I was about to pray Idolizin' at your feet Know you are so far away I will travel overseas But your heart's in another place How do I even compete? Emotionless, emotionless I'm at war with false intelligence, oh yeah They're trying to take my soul, oh They're trying to take my soul, yeahYou might also like2Embed"
4,MIKE DEAN,N/A,Artificial Intelligence (OG) (Ft. The Weeknd),MIKE DEAN & The Weeknd,"Oh yeah (Oh) Oh yeah Oh yeah (Oh) Oh yeah You can hide it all from me, like I was about to fade I realize it that you’re free, now you are so far away I’ve been tryna know, you see this? But your heart’s in it, now the present Hide your worries, here for freeze But you let it, but you let it I’ve been worried soft to take a chance Oh yeah They’re trying to take my soul They’re trying to take my soulYou might also like3Embed"
5,MIKE DEAN,N/A,Blues for the State of the World - Moog Mod Improve 1,MIKE DEAN,
6,MIKE DEAN,N/A,Blues for the State of the World - Moog Mod Improve With Guitar Part 2,MIKE DEAN,
7,MIKE DEAN,4:22,CHALLENGER,MIKE DEAN,
8,MIKE DEAN,ECHOPLEX (LIVE 2021),CHALLENGER ECHO (Live),MIKE DEAN,
9,MIKE DEAN,ECHOPLEX (LIVE 2021),"CHALLENGER ECHO, Pt. 2 (Live)",MIKE DEAN,
10,MIKE DEAN,ECHOPLEX (LIVE 2021),CIRCLING ECHOS (Live),MIKE DEAN,
11,MIKE DEAN,4:22,CRYPTOSONIC,MIKE DEAN,
12,MIKE DEAN,ECHOPLEX (LIVE 2021),CRYPTOSONIC ECHO (Live),MIKE DEAN,
13,MIKE DEAN,N/A,Dance Of The Mushroom Fairy,MIKE DEAN,
14,MIKE DEAN,4:22,DEEP,MIKE DEAN,
15,MIKE DEAN,4:23,Defame Moi (Ft. The Weeknd),MIKE DEAN & The Weeknd,"Leave me alone, leave me alone, leave me alone Leave me alone, leave me alone, leave me alone Leave me alone, leave me alone, leave me alone Leave me alone, leave me alone, leave me alone  They demonizin' my name They demonizing me They demonizin' my name, demonizing me I believe their lies, they believe their lies, they believe their lies They believe that I, they believe that I They believe so I guess I'm the bad guy, I can be the bad guy I guess I'm the bad guy, I can be the bad–You might also like3Embed"
16,MIKE DEAN,"The Idol, Vol. 1 (Music from the HBO Original Series)",Devil's Paradise,MIKE DEAN & Sam Levinson,
17,MIKE DEAN,4:22,DIGITAL TEST DRIVE,MIKE DEAN,
18,MIKE DEAN,4:22,DON'T YOU KNOW,Vegyn & MIKE DEAN,
19,MIKE DEAN,4:22,EARTH FORCE,MIKE DEAN,
20,MIKE DEAN,ECHOPLEX (LIVE 2021),"EARTH ""LAZERS"" (Live)",MIKE DEAN,
21,MIKE DEAN,4:22,EARTHSHIP,MIKE DEAN,
22,MIKE DEAN,4:23,Earth To Michael,MIKE DEAN,"The human touch (Touch)  Taerg ylbanoitseuqnu snoitaerc esoht sekam tahw fo tirips eht erutpac ot elba eb reven lliw ti Cisum dna tra fo skrow tcefrep etaerc ot elba eb yam .I.A elihw taht Tbuod a fo wodahs a tuohtiw detartsnomed noititepmoc siht ,os dna Srehto fo sluos dna traeh eht dehcuot taht gnihtemos otni ecneirepxe efil dna snoitome rieht gnilennahc rof desiarp erew srotaerc namuh ehtYou might also likeEmbed"
23,MIKE DEAN,ECHOPLEX (LIVE 2021),ECHOS (Live),MIKE DEAN,
24,MIKE DEAN,4:23,Electric Sheep,MIKE DEAN,
25,MIKE DEAN,4:23,Emotionless (Ft. The Weeknd),MIKE DEAN & The Weeknd,You could have me on my knees Like I was about to pray Like I was about to pray Like I was about to pray Like I was about to pray   Emotionless EmotionlessYou might also likeEmbed
26,MIKE DEAN,4:23,Goodbye Earth,MIKE DEAN,
