,Artist,Album,Song Title,Producer,Lyrics
0,Playboi Carti,N/A,10kk A Couple Thousand$ For The Hoe$,Playboi Carti,"Cartier Sir Cartier  Slowed up, I fucked up Off them two cups, sensation (Sensation) I'm racing (Racing) In my mind (Skrrt) Tokyo drift, ayy (Skrrt) Tokyo pimp (Carti) I'm talking to steez, I'm talking to limp (Bitch) These hoes on my dick Snort white powder, clam chowder with the bitch (Got your bitch) Made my block proud but I still can't trust 'em Got you baby mama on hold like fuck it (Ayy) Let me give this dro to my homeboy to tuck it (Ayy) Seen a pussy nigga then my niggas started bustin' Ayy  Monkeys on my draws, she think I'm the man, uh Ten for a verse, I don't say nothing, damn Smokin' on this kush, word to my man, uh (To my man) Splur on my swag, shoutout to Japan (Carti) You might also like Pimp game, I got pimp game Watch me switch lanes in that new thing (Skrrt) Got a bopper bitch with a pussy ring (Uh) She like to hold the work for Yung Carti (Yung Carti) I just store it all in my apartment (Damn) Thirsty bitch, be quiet (Quiet) Thirsty bitch, be quiet (Be quiet) Niggas tryna be Yung Carti (Goddamn) Mad 'cause I gave your bitch Molly (Goddamn) Nigga, I ain't spot your guap (Goddamn) Threw stacks in the bag, she ain't mind (Goddamn) Hit a nigga in his brain, leave him clueless (Goddamn) Real nigga out here, I do this (Carti) I'm the rudest, should be the shooter (Shooter) I got hoes, that's your ho, yeah, she know (Yeah, she know) Every I go, they know (They know) Cartier a rich nigga on the low (On the low) Cartier a rich nigga on the low (On the low) I don't ever see a day that I'm poor (Nah) I got bitches, ask your ho, yeah, she know (Yeah, she know)  Carti, fuck all these niggas, man We don't give a fuck about nobody, nigga Uh, uh Monkeys on my draws, she think I'm the man, uh Ten for a verse, I don't say nothing, damn Smokin' on this kush, word to my man, uh (To my man) Splur on my swag, shoutout to Japan (Carti) Monkeys on my draws, she think I'm the man, uh Ten for a verse, I don't say nothing, damn Smokin' on this kush, word to my man, uh (To my man) Splur on my swag, shoutout to Japan (Carti)   Monkeys on my draws, she think I'm the man, uh Ten for a verse, I don't say nothing, damn Smokin' on this kush, word to my man, uh (To my man) Splur on my swag, shoutout to Japan (Carti)  Monkeys on my draws, she think I'm the man, uh Ten for a verse, I don't say nothing, damn Smokin' on this kush, word to my man, uh (To my man) Splur on my swag, shoutout to Japan (Carti)5Embed"
1,Playboi Carti,N/A,2.6 Boy (Bitch Boy)*,Richie Souf," (Boy) Boy (Real, Ooh) (I just told Richie we rich)  Real nigga, boy I don't give a fuck about shit (Boy) Real nigga, boy I don't give a fuck about shit (Boy) I got some bitches in my bed, they ain't shit, boy That's CELINE on the bed, it ain't shit, boy (Boy) Ridin’ round with them guns, it ain't shit, boy (Boy) Spent 100 on a pint, it ain’t shit boy Spent 200 on a flight, it ain’t shit boy (Boy) Take your chain for ya life, it ain’t shit boy (Play) I'ma play with that little ass nigga, you's a bitch, boy (Boy) I'ma play with that bitch nigga, he a bitch, boy (Boy) LaFerrari in the rain, 2.6 boy LaFerrari sitting outside, it ain't shit boy (Play) We gone take this shit outside, it ain't shit, boy, uh We gone take this shit for a ride, it ain't shit, boy (Yeah) You might also like I got jets, talking 'bout lease (Jets) Too many percs', talk like this (Percs, talking 'bout) Too many xans', talk like this (Xans, what you talking 'bout) I'm 'bout to marry this bitch My nigga got thе gun ready to wreck (Whole Lotta Rеd, yeah) My nigga got the big red, the Ricks Light up the cigarette bitch My nigga got the bitch whacked, bitch (Ah) I'm 'bout to marry this bitch (Boy)  Real nigga, boy I don't give a fuck about shit (Boy) Real nigga, boy I don't give a fuck about shit (Boy) I got some bitches in my bed, they ain't shit, boy That's CELINE on the bed, it ain't shit, boy (Boy) Ridin’ round with them guns, it ain't shit, boy (Boy) Spent 100 on a pint, it ain’t shit boy Spent 200 on a flight, it ain’t shit boy (Boy) Take your chain for ya life, it ain’t shit boy (Play) I'ma play with that little ass nigga, you's a bitch, boy (Boy) I'ma play with that bitch nigga, he a bitch, boy (Boy) LaFerrari in the rain, 2.6 boy LaFerrari sitting outside, it ain't shit boy (Play) We gone take this shit outside, it ain't shit, boy, uh We gone take this shit for a ride, it ain't shit, boy (Yeah)1Embed"
2,Playboi Carti,N/A,2900,Southside & Pi’erre Bourne,"Beep  I'm goin' straight to the top (Top) I told my boy get the knots (Knots) All of my boys on the block (Block) Up on your block with the knots (Thots) Up on your block with your thot (Thots) Fuckin' your bitch in the lot (Fuckin' that bitch) All of my niggas, they pop, ooh I got like twenty-nine opps, ooh (2900 my block)  2900 my block, hey (2900 my block) I got like twenty-nine opps, hey (Twenty-nine opps) I shoot like twenty-nine times, ayy (Twenty-nine times) I shoot like twenty-nine times, hey (Twenty-nine times) 2900 my block, hey (2900 my block) I got like twenty-nine opps, ayy (Twenty-nine opps) I got like twenty-nine opps, ayy (Opps) I shoot that shit off the top (Top) I shoot that bitch off the top (Hold on) I shoot that bitch off the top, hey (Yeah) I shoot that bitch off the top, hey (Yeah, yeah) I shoot that bitch off the top, hey (Beep) 2900 my block, ayy (My block) I got like twenty-nine opps, ayy (Like, yeah, yeah) 2900 my block, ayy (Block) I got like twenty-nine opps, ooh (I got like twenty-nine opps) I got like twenty-nine knots, ayy I got like twenty-nine mops, ayy (Mops) I got like twenty-nine Glocks, ayy (Twenty-nine) I got like twenty-nine thots, ayy (Yeah, yeah) 2900 my block, hey (2900 my block) I got like twenty-nine, uh, what? (I got like twenty-nine) 2900 my block, hey (Yeah, 2900 my block) Carti got twenty-nine thots, ooh (Twenty-nine thots) Carti got twenty-nine thots, ooh (Twenty-nine thots) Carti got twenty-nine opps, ooh (Twenty-nine opps) Carti got twenty-nine thots, ooh (Twenty-nine thots) Carti got twenty-nine opps, ooh (Twenty-nine, twenty-nine) I got like twenty-nine mops, ooh (Twenty-nine mops) I got like twenty-nine mops (Twenty-nine mops) I got like twenty-nine thots, ooh (Twenty-nine thots) I got like twenty-nine thots (What? Beep) You might also like Bitch, I be high like Kid Cudi, hey I might go fuck on her buddy, hey (Her buddy) Fuck that lil' bitch on a Sunday, hey (A Sunday) Fuck that lil bitch and she love me, ayy All of your diamonds they dusty, ayy (All of your diamonds, they) All of your bitches they dusty, oh (All of your diamonds, they) My diamonds they shine on a Monday (Shine on a Monday) My diamonds they shine on a Sunday (Shine on a Sunday) What? What? What? What? All of your bitches look funny, ooh (What? beep) Walk in that bitch with my toolie, ooh (Yeah, yeah) Carti can't move like no dummy, ooh (Yeah yeah) Maison Margiela my sweater, ooh (Mason Margiela my sweater) She got the key to my telly, ooh (Slatt) She got her head on my belly, ooh (What?) I live my life like it's Belly, ooh (Slatt, slatt) I just got out of the celly, ooh (What?) All of these niggas, they tellin', ooh (Do all of these niggas get racks) I'm a popstar, bitch, no felon, ooh (I might go fuck on your bitch) I'm a rockstar, bitch, no felon, ooh (I might go fuck on your bitch) I might go move like a felon, ooh (I might make a move on your bitch) Catch that lil' boy and we killin', ooh (Ooh, what?) Catch that lil' boy and we killin', ooh (Ooh, what?) But all of my niggas rebellin' (Beep, beep, beep, beep, beep, beep, beep, beep)  Hey, 2900 my block, hey (2900 my block) I got like twenty-nine opps, hey (Twenty-nine opps) I shoot like twenty-nine times, ayy (Twenty-nine times) I shoot like twenty-nine times, hey (Twenty-nine times) 2900 my block, hey (2900 my block) I got like twenty-nine opps, ayy (Twenty-nine opps) I got like twenty-nine opps, ayy (Opps) I shoot that shit off the top (Top) I shoot that bitch off the top (Hold on) I shoot that bitch off the top, hey (Yeah) I shoot that bitch off the top, hey (Yeah, yeah) I shoot that bitch off the top, hey (Beep) 2900 my block, ayy (My block) I got like twenty-nine opps, ayy (Like, yeah, yeah) 2900 my block, ayy (Block) I got like twenty-nine opps, ooh (I got like twenty-nine opps) I got like twenty-nine knots, ayy I got like twenty-nine mops, ayy (Mops) I got like twenty-nine Glocks, ayy (Twenty-nine) I got like twenty-nine thots, ayy (Yeah, yeah) 2900 my block, hey (2900 my block) I got like twenty-nine, uh, what? (I got like twenty-nine) 2900 my block, hey (Yeah, 2900 my block) Carti got twenty-nine thots, ooh (Twenty-nine thots) Carti got twenty-nine thots, ooh (Twenty-nine thots) Carti got twenty-nine opps, ooh (Twenty-nine opps) Carti got twenty-nine thots, ooh (Twenty-nine thots) Carti got twenty-nine opps, ooh (Twenty-nine, twenty-nine) I got like twenty-nine mops, ooh (Twenty-nine mops) I got like twenty-nine mops (Twenty-nine mops) I got like twenty-nine thots, ooh (Twenty-nine thots) I got like twenty-nine thots (What? Beep)2Embed"
3,Playboi Carti,N/A,29 Hunnet (Ft. Rich The Kid),Ceej & Richie Souf,"(Sushi) (Boy)  Ayy, 2900 (What, yeah) 2900 (Yeah) 2900 (Yeah) 2900 (What?) 2900 (Yeah) 2900 (What?) 2900 (What?) 2900 (What?) 2900 (Yeah) 2900 (What?) 2900 (Yeah) 2900, (Yeah) 2900, (Yeah, 2900)  Ayy, yeah, 2900, yeah Yeah, ayy, 2900, yeah  Yeah, let's hit Phipps, yeah, girl, let's hit Saks, yeah (Let's hit Saks, yeah) Got that bag, yeah, money bag swag, damn (What?) Switch the swag, yeah, now I'm counting racks, yeah (Now I'm counting racks, yeah) Count it up down, Count it on the back, yeah Keep the MAC yeah, and Carti strapped, yeah (Yeah, yeah) On the mat, got your ho' on the mat, yeah (Yeah, yeah) Got it bad, like a frisbee we bring it back down(Yeah, yeah) Yеah, yeah, 2900 (Hunnid, you know that I'm bomin') Yeah, ayy (What?), tatted on my stomach 2900, you know how I'm bomin' (You know that I'm bomin') You know how I'm comin', 2900, yеah Yeah, yeah, yeah  (2900, you know how I'm bomin') 2900 (You know how I'm comin') 2900 (Yeah) 2900 (Yeah) 2900 (Yeah) You know how I'm bomin' You know how I'm bomin' (What?Ooh, yeah, okay) You might also like Bought that ho' Chanel, it cost me $2,900 (What?) Momma paid my bail it cost her $,2900 (Momma) Bitch, I got right with the sack (Woo) Jugged the plug, make it back (Yuh) Me and Carti with the scraps (Carti) Ride wit' it, load a MAC 2900 (20) Red Bottom cost $2,900 (Come on) I get to the money (Get to) I'ma just hustle you hatin' on (Hustle) 'Round town with the Nina (Nina) Trap jumpin' at the people (Trap) I was druggin' at the meter (Drugs) I got stripes like Adidas (Woo)  Ayy, 2900 (What? Yeah) 2900 (Yeah) 2900 (Yeah) 2900 (What?) 2900 (Yeah) 2900 (What?) 2900 (What?) 2900 (What?) 2900 (Yeah) 2900 (What?) 2900 (Yeah) 2900, (Yeah) 2900, (Yeah) (Sushi) (Boy)1Embed"
4,Playboi Carti,N/A,2MANY,Richie Souf & Art Dealer,"Uh-uh Yeah, yeah Yeah, aah (I just told Richie we rich)  Too many hoes down to fuck, ayy Too many bitches in here I told her get in the truck I gotta get outta here I gotta get outta gear All of my bitches in here (Ooo, yeah, eeh) What the fuck I'm gon' do? I ain't even know what to do Young nigga be takin' my swag, niggas be takin' my moves (Yeah) Niggas be takin' my swag, niggas be takin' my moves, yeah (Yeah) I just walked in with a bag, that's what Yung Carti gon' do, mm  Nigga I got ya, red, red, red dot ya (Yeah) I got nachos, yeah, yeah, I got some nachos (Yeah) Stack it up, bitch, add it up, cheese I got some bitches lookin' at me, on they knees (Yeah) How the fuck I kill that nigga and he ain't kill me? I guess the opp was way too deep, but I ain't never deep (Yee, yee) I keep that big ass FN right on me, son (Yee, yee) That pussy ass nigga sound like me, he my damn son (Yee, yee) I just stole his bitch with a lil' gun (Yee, yee) Got a Goyard bag, keep it goin' on (Yee, yee) Tatted up my neck, I'm so fucked up (Yee, yee) Mixin' my Act', get so fucked up, uh (Yee, yee) You might also like Too many hoes down to fuck, ayy Too many bitches in here I told her get in the truck I gotta outta here I gotta get outta gear All of my bitches in here (Ooo, yeah, eeh) What the fuck I'm gon' do? I ain't even know what to do Young nigga be takin' my swag, niggas be takin' my moves (Yeah) Niggas be takin' my swag, niggas be takin' my moves, yeah (Yeah) I just walked in with a bag, that's what Yung Carti gon' do, mm (Talm' 'bout, yeah)  I'm in Elliot, gettin' a gold rush (Uh, yeah) I sip lean all day, almost threw up (Hol' up) I sip lean all day, almost threw up (Bih) And I got ice on me, ooh And I got ice on me, ooo (Uh, blatt) Money tall like Yao Ming, ooo (Yeah) My bitch talk Chinese, yuh (Blatt, huh, yee) My bitch look Chinese, huh Rockstar bitch, ay (yeah) And I got a rockstar bitch, ay (yeah) Rockstar bitch, uh And I got a rockstar bitch, ay (Rockstar bitch) Rockstar bitch, ay (Yeah) And I got a rockstar bitch, ay, uh Rockstar bitch, yeah (Yeah) But I got a rockstar bitch, yeah (Yeah) And I got I get that bitch in the backyard (Uh) And I put a bitch on front street (Yee) I'm a hundred, bitch, free Big Meech I'm honest (Uhh) I swear to God, I'll cut one of these bitches (Cut, cut, yeah) I swear to God, I'll cut up these niggas (Yeah, uh, yeah, aah) Too many hoes down to fuck, ayy Too many bitches in here I told her get in the truck I gotta outta here I gotta get outta gear All of my bitches in here (Ooo, yeah, eeh) What the fuck I'm gon' do? I ain't even know what to do, yeah Young nigga be takin' my swag, niggas be takin' my moves (Yeah) Niggas be takin' my swag, niggas be takin' my moves, yeah (Yeah) I just walked in with a bag, that's what Yung Carti gon' do, mm  (Right now) (Ten hoes callin' me right now and I ain't answering for neither of them) What the fuck I'm gon' do? What the fuck I'm gon' do? (None of y'all pussy ass, pussy ass, bitch ass, drunk ass niggas) (Grrrat) (Sneak dissin', y'all sneak dissin') (Speak that shit Carti) (I swear to God these-) (Grrrat) (It's survival, suck my dick, it don't matter) (Fuck y'all gon' do?) (I had it-) (-y'all nigga's gon' do) (Lil babyseat, lil babyseat, bitch) (Keep it goin') (Nah, for real, I don't sleep) (All that) (To all that-stop it) (Grrrat)6Embed"
5,Playboi Carti,N/A,2 Much (Way Too Much Cash)*,Richie Souf & Roark Bailey,"The way I think about it, yeah, these niggas tryna take my swag These niggas they takin' my swag, they tryna take all my cash I got way, way too much cash I got way, way too much cash My life is so damn fast This life is so damn fast Sometimes I wonder, if I fall, baby will you catch me? Sometimes I wonder, if I fall, baby will you catch me? These bitches not for me baby girl, they not my match These bitches not for me baby girl, they not my match  These niggas tryna be like me, they tryna match My bitch she fine, she look like me, yeah wе kinda match Diamonds wet, I put pink stones all on my Patek Yеah, I got a brand new Rolls Royce and got it all matte, yeah The niggas they talk, yeah, they got no play, yeah Yeah we hit that boy, yeah we hit that boy Yeah, Carti gonna kill that bitch, yeah, I was gonna kill that bitch, yeah Carti gonna stab that nigga, yeah, bitch we die lit, yeah I gotta big stick yeah, I gotta big bitch yeah This that real shit yeah, this that real shit yeah We got four blicks, this that full blick I gotta get in, yeah I got on full Rick Yeah, I got on full Rick You gotta talk it You might also like That's my bad bitch, yeah, she break my wallet She break my wallet She flyin' private Ya' lyin' to me, you're lyin' (Ahh)  The way I think about it, yeah, these niggas tryna take my swag These niggas they takin' my swag, they tryna take all my cash I got way, way too much cash I got way, way too much cash My life is so damn fast This life is so damn fast Sometimes I wonder, if I fall, baby will you catch me? Sometimes I wonder, if I fall, baby will you catch me? These bitches not for me baby girl, they not my match These bitches not for me baby girl, they not my match1Embed"
6,Playboi Carti,N/A,30 Deep,Dolan Beats,"(This is a Dolan Beats production) What? What?  30 deep, uh, 30 deep, uh 30 deep, uh, 30 deep, uh 30 deep, uh, 30 deep, uh 30 deep, uh, 30 deep, uh 30 deep, uh, 30 deep, uh 30 deep, uh, 30 deep, uh Ayy,  off somethin', what? Ayy Bitches cum for me, I go dumb, ayy, yeah, ayy, yeah 30 deep, I got the shit yeah, what? 30 deep, I got hella shit, yeah, ayy And I'm just gettin' started, bitch, ayy, ayy Who you think you harder than? Uh, what? Ayy Ballin' James Harden then, what? Ayy On the rock, like spotted' them, what? Ayy You shouldn't have started shit, what? Ayy, yeah I ain't with yo' clique I ain't one of these niggas that shoot up in the air, uh You a fuckin' clown, aimin' at your head in there, ooh We them motherfuckin' goons, we don't give a damn I used to be on Campbelltown with Cleveland , what? What? On Campbelltown, on Clеveland them, uh, yeah , what? , what? I'm Yung Carti, why you out on thеmYou might also like2Embed"
7,Playboi Carti,Young Mi​$​fit,36 Villainz,DJ Anuedy & Cold Hart,"You'd be very foolish to not to understand that because demons are real and people are influenced by bad spirits Yeah, yeah Carti, yeah  Southside nigga, black ninja (Yeah) My niggas take time off yo' clock with the Glock Purple killing that fool, I smoke dolo by two Got me high to the roof, got your bitch getting loose Carti that dude (Carti), it's blue in these jewels Redman comes on, three Gs, one blunt, just me Three cups, cups filled with pink, drink up (Uh, damn) I'm 'bout them green, guys (Guys), so I'm serving pies (Pies) I'm high, white lie, my eyes reveal the truth (Bitch) This is what I do, bitch This is what I do, bitch, nigga fuck you (Carti) Fuck 'em all, get this cake, that's how I pissed them off (Carti) I got work that's gon' be gone tomorrow (Yeah) Ship it off state to state, nigga, don't hate (Yeah) Cartier with your bitch on the interstate (State) Foreign whip, she love this shit She ridin' it, rollin' that glass Roll that gas, bitch, I'm the man  All of these bitches (All of these bitches) All of these bitches (All of these bitches) I'm gon' fuck all of these bitches (All of these bitches) I'm gon' fuck all of these bitches (All) Yeah, I just gotta fuck right these bitches All these bitches I just gotta fuck all these bitches I pull up right on these bitches I just gotta fuck all these bitches Fuck what you think, Carti (*Loud screaming*)You might also like4Embed"
8,Playboi Carti,N/A,3 Chains (Ft. Rich The Kid),Stacy Money,"I got three chains on, three chains on I got three chains on, three chains on I got three chains on  Uh, it ain't nothin' to cut that bitch off (I got three chains on) I spend a lot of guap when I pitstop (When I pitstop) I got ice all on my shit, might cut my wrist off (Might cut my wrist off) Then I pour it in the water then end it all (Then I end it all) Drip-drop, pussy pop, yeah, she on top (Yeah) I love the top, I love that your ho give me top (Yeah, top) And my big homie abroad, yeah, he servin' rock (What up?) Early in the mornin' hoes on the clock (What's poppin', bitch?) I'm on the block, it's two, yeah (Yeah, yeah, on the block, bitch) Still with the hot, chef, ooh, yeah (Yeah, ooh, yeah, bitch) Yeah, I'm hot, nigga, cool, yeah (Nigga, bool, bitch) Your bitch tryna come and bool, yeah (Yeah) Might just stop at Keisha's spot Might just stop at Brittany's spot (Yeah) They in love with my diamonds I'm like, ""Ho, wait, stop"" (Yeah) Might just stop at Keisha's spot Might just stop at Brittany's spot (Yeah) They in love with my diamonds They gon' fuck me for my rocks (Yeah) Yeah, yeah, fuck me for my rocks, I got rocks, yeah (Yeah, yeah, yeah, yeah) Ayy, in the trap with rocks, we sell rocks, yeah (We sell rocks, uh) Fuck me for my rocks, for my rocks, yeah For my rocks, for my rocks (Yeah, yeah, yeah) You might also like I got three chains on, ooh (Three) Three chains on, ooh (Three) Three chains on, ooh (Three) Three chains on (Yeah, yeah) Three chains on, ooh (Three) Three chains on, ooh (Three) Three chains on, ooh (Three) Three chains on (Yeah, yeah) Three chains on, ooh (What? Three) Three chains on, ooh (What? Three) Three chains on, ooh (What? Three) I got three chains on (Yeah, yeah) Three chains on, ooh (Three) Three chains on, ooh (Three) Three chains on, ooh (Three) I got three chains on (Yeah, yeah)  Ooh (Chains, chains) Uh, uh (I got chains, I got chains) She gon' fuck me for my rocks (Chains) She gon' fuck me for my rocks (Uh, yeah) She gon fuck my for my diamonds (Yeah) Tell these bitches fuckin' stop (Uh, diamonds) She gon fuck my for my diamonds (Yeah) Tell these bitches fuckin' stop, yeah (Uh) Tryna fuck my for my diamonds, ho, stop, yeah (I got three chains) Tryna fuck me for my rocks, ho, stop, yeah (I got three chains on, I got three chains on) Tryna fuck me for my rocks, ho, stop, yeah (I got three chains on, I got three chains on) Tryna fuck my for my diamonds, ho, stop (I got three chains on, yeah, yeah) Ayy, three chains on (Ice) I'm flexing (Flex) Shawty wanna fuck me 'cause my necklace (Fuck me) She suckin' on me, we don't do no textin' (No textin', uh, yeah, yeah) I walk in with the salad but no dressin' (Cash) Thuggin', bitch, I came up from finessin' (Finesse) Look at the water, it's real deal (Real deal) Pour a four, pop a seal (Seal) Diamonds cold, catch a chill (Chill) Fifty thousand for a grill (Fifty) Three chains, three chains (Chains) I got a Bugatti, no Mustang (Skrrt) Fuckin' that bitch and she never complained I love her, I bought her a Range (Woop) I can't keep it take it back (Take it back) Fuck love, chase the sack (Fuck it) Got a UZI and a MAC (Grraow) Three chains, hundred racks (Ooh)  I got three chains on, ooh (Three) Three chains on, ooh (Three) Three chains on, ooh (Three) Three chains on (Yeah, yeah) Three chains on, ooh (Three) Three chains on, ooh (Three) Three chains on, ooh (Three) Three chains on (Yeah, yeah) Three chains on, ooh (What? Three) Three chains on, ooh (What? Three) Three chains on, ooh (What? Three) I got three chains on (Yeah, yeah) Three chains on, ooh (Three) Three chains on, ooh (Three) Three chains on, ooh (Three) I got three chains on (Yeah, yeah) Ooh (Chains, chains) Uh, uh (I got chains, I got chains) She gon' fuck me for my rocks (Chains) She gon' fuck me for my rocks (Uh, yeah) She gon fuck my for my diamonds (Yeah) Tell these bitches fuckin' stop (Uh, diamonds) She gon fuck my for my diamonds (Yeah) Tell these bitches fuckin' stop, yeah (Uh) Tryna fuck my for my diamonds, ho, stop, yeah (I got three chains) Tryna fuck me for my rocks, ho, stop, yeah (I got three chains on, I got three chains on) Tryna fuck me for my rocks, ho, stop, yeah (I got three chains on, I got three chains on) Tryna fuck my for my diamonds, ho, stop (I got three chains on, yeah, yeah)3Embed"
9,Playboi Carti,N/A,3 Times,Pi’erre Bourne,"(Fsh, what?) (Hold up, what? What? Haha)  I know that's your bitch, I know that's your bitch (Nah, for real) But I fucked your bitch (Bop, bop, bop), I fucked your bitch I know that's your bitch, I know that's your bitch But I fucked your bitch (Bop, bop, bop), I fucked your bitch (Uh, uh, yeah) Bop, bop, bop, bop But I fucked your bitch (Bop, bop, bop), I fucked your bitch (Uh, uh, yeah)  Yeah, I'm on the south side, I got a Glock-9 You can get hit with that light (Yeah), I just want ends tied I'm with my slimes, they bite, yeah, you fuckin' with pythons They in the crib, they tight, cuttin' these blocks, they been mine All of the money, it been mine, I spend the money and rewind I get that guap and I rewind, I'm fuckin' your bitch and I rewind I'm fuckin' your thot and I rewind I'm fuckin' your bitch like three times (Uh) Three times (Buh-buh-buh), three times Ninе times (Buh-buh), nine times Two ninеs (What? Buh-buh), oh my Aah (Buh-buh-buh), wah (Buh-buh-buh) You might also like I know that's your bitch, I know that's your bitch (Nah, for real) But I fucked your bitch (Bop, bop, bop), I fucked your bitch I know that's your bitch, I know that's your bitch But I fucked your bitch (Bop, bop, bop), I fucked your bitch (Uh, uh, yeah) Bop, bop, bop, bop But I fucked your bitch (Bop, bop, bop), I fucked your bitch (Uh, uh, yeah) Bop, bop, bop, bop6Embed"
