,Unnamed: 0,Artist,Album,Song Title,Producer,Lyrics,neg,neu,pos,compound
0,0,Chief Keef,,.,,,0.0,1.0,0.0,0.0
1,1,Chief Keef,,10-4,,"Bang 2 Holiday Sup, bro? Bye, bitch What you want? (Who you talking to?)  10-4, 10-4, got money on my mental I come from O-6-4, you copy that? 10-4 Endo, endo, I love smoking endo Bet you could smell that outdoor, you copy that? 10-4 Get low, get low, bitch, we shooting, get low Or get your ass shot down, you copy that? 10-4 Get dough, get dough, boy, you better get dough Or get your ass killed, bro, you copy that? 10-4 My wrist glow, my wrist glow, you try to take it, get smoked My MAC and TEC be kinfolk, you copy that? 10-4 6-4, 6-4, I come from that 6-4 Pour 6 up in my 24, I'm leaning, I ain't sick though Window, window, you shoppin' in the window You outside looking indoor, you ain't got shit to spend on Kinfolk, kinfolk, my MAC and TECs be kinfolk And both of 'em got a hundred shots, they shooting at your window Indoor, indoor, your ass better stay indoor My 2-2-3s tote two 15s, while you tryna take 10 though Insult, insult, you think you an insult? Bitch, I will erase you and turn you to a resultYou might also like1Embed",0.18,0.737,0.083,-0.9749
2,2,Chief Keef,"Bang, Pt. 2",12 Bars,Dolan Beats,"On foe nem, ugh Come on over here, yuh () Hahahaha, yeah, you ain't top my shit though Turn up Ayy, ayy, ayy, ayy Ayy, ayy, bang, bang Bang, bang, bang, bang Bang, bang Bang, bang, bang, bang Bang, bang, haha, ayy Ayy, ayy, ayy  Got his bitch trippin' 'cause she seeing me, thought she was off a trippy stick Don't know why she sneak dissin' to me, say he got a shrimpy dick Pull off in that Rari, now they think I'm on some fishy shit Two year ago I ain't have no car, I was on that 'come get me' shit Two years ago I ain't have no job, I was on that young drilla shit Posted on the block with the Glock, tryna drill some shit Don't give no fuck, that thot with the opps, I'ma drill a bitch And I swear these opps know how I rock, Glo until I be killed I don't want your bitch, boy, let me see if I can fit her in my schedule I won't wife a bitch, boy, these bitches be goin' everywhere I don't care 'bout goin' to jail, they treat me like heaven there 'Fore I let a nigga try to kill me, I'ma send his ass 11 shellsYou might also like19Embed",0.197,0.649,0.154,-0.9326
3,3,Chief Keef,Bang,12 Bars (Part 1),Resource,"Hipstrumentals You know I'm rockin', baby Sosa, O'Block Fuck these fuck niggas, man L's over here, baby 064, bitch Yeah, yeah Glory Boyz, baby (Haha) Sosa, baby (Bang)  Goddamn, my swag OD ('D) No seeds in my weed (There's no seeds in my weed) .30 clip in my waist (My waist) Bullets spraying like Sheen (Bullets spraying like Sheen) I'm hitting shit low-key (Low-key) Like my nigga Odee (Just like my nigga Odee) RIP Odee (Bang) That was my broski (That was my broski) I'm living life fast (Fast) Can't give a nigga no pass (Can't give a bitch no pass) And, bitch, I'm trained to go (Go), so on sight, I'm gon' blast (So on sight, I'm gon' blast) Kush got me chokin', let's toast if you blowin' (Let's toast if you blow) Let's smoke if you hittin' (Smoke) Let's roll if you rollin' (Let's roll if you rollin') Sosa blowin' (Blow), he ain't goin' (And he ain't goin') I'm a killer seizin' these fuck niggas when I get to blowin' (Bang, bang bang, bang) Smoke on the low end (On the low), and I ain't with the romance (And I ain't with the ro') You gotta do the team (Bitch), for 300, she go in (300, she go in) You might also like Yeah, what? Fuck you niggas say? It only takes time, man Shootin' you fuck niggas to the face, man, haha Make shit very scary Fredo, roll that dope up, man Reese Money, roll the dope up Cdai, where ya at, kid? Let it out Shoutout my nigga D Rose, my nigga Edai RIP Lil Moe, RIP Odee, RIP Keta, RIP Lil Steve, nigga Fuck M.O.B, real shit, real nigga shit, 3Hunna shit, 6Hunna shit Fuck the other side, period You know, you know, rockin' with my fuckin' guys6Embed",0.247,0.669,0.085,-0.996
4,4,Chief Keef,CK&MWM1*,149 N 55 (Ft. Ballout),Shawn Ferrari,"Ayy ayy ayy ayy ayy yoon yoon skrt skrt ayy ayy ayy gang ayy skrt dududuh ayy skuduskuh ayy ayy skrt  Goin' 149 in a 55, you might see me in the sky I be really high Foreign truck, bitch it ain't nun basic Smoked the whole blunt bitch said why you facin' ? Bitch you ain't my brother, you can't hit my blunt Looking like that nigga and I feel like that Puffin flute, saxophone, clarinet Skinny jeans on tryna stop the racks Nigga we don’t love these bitches I ain’t goin out in public with these bitches She suck me, she suck you, ooh she vicious All these hoes be actin' like bougie bitches These hoes can't drive that shit too ridiculous Somebody call rob, my watch too ridiculous Young nigga still on this road of richess This dumb nigga spend his cash on dope and bitches  Grandma say I be on too much ridiculousness No computer we'll break a nigga shit No computer we'll fix a nigga shit That go for black john tryna wrip a nigga shit Call Will, we finna hitch that nigga shit I named the truck Ludacris, disturbin' the peace Who you buying pills from? they serving bleach I got a condo on my neck, who wanna live here? We done lost a couple soldiers but we still here In the V10 rollin' like a wheelchair Brick ass nigga we got steel, fam You might also like Aye, 2 tone cubs, you might see me in Cuba Frozen 'cause my jewler Them ain’t VVS, you got yo necklace from a fooler Aye, they sold you that fooled ya My youngin' nem with it blowin' at the jewler Sippin' a PT cruiser You know my shit fast, you think I'm high we be cruising Aye, bitches jewlin' on the jewlery Goin' to school to be a doctor so I asked her can she cure me 700 horses call Polo Nigga we was lookin' for you, nigga Marco polo  Grandma say I be on too much ridiculousness No computer we'll break a nigga shit No computer we'll fix a nigga shit That go for black john tryna wrip a nigga shit Call Will, we finna hitch that nigga shit I named the truck Ludacris, disturbin' the peace Who you buying pills from? they serving bleach I got a condo on my neck, who wanna live here? We done lost a couple soldiers but we still here In the V10 rollin' like a wheelchair Brick ass nigga we got steel, fam New foreigns outside, they ain't leased Nigga say he on his bag, he want me Trap house been in uncle Phil crib Nigga and my momma ain't even livin' here Stuntin' on the commas on a steel chair Pushing old money with a wheelchair Call me Ballout baby, the pill bear On the tour bus and we hit a damn deer Fresh as hell and I ain't goin' in no summer tale Nigga don't get put on a obituaryEmbed",0.126,0.738,0.136,0.6683
5,5,Chief Keef,,20,Dun Deal,"I got 20 babymamas, I got 20 new cars I got 20 thousand on me, no matter to where I'm at I bought 20 new shoes, I bought 20 new scarfs My shoes cost a couple thousands, 600 that Louis scarf I bought 20 new houses, I bought 20 pounds of weed You don't want the 36, you want 20, this 5 on me I got 20 new choppas, I got 20 Desert Eagles I got 20 lil shooters, to shoot them 'cause I don't need to  I got 30 in my clip but I shoot 20 if I need to Got 20 bad bitches, and baby girl, I don't need you Got 20 new contracts to sign when I don't need to 20 niggas under me, too many niggas needin' you 20 pounds of earrings, got 20 hundred thousand I got 20 niggas working, out in 20 public houses I got 20 niggas with me, don't go nowhere without them 1500 niggas surrounding us, we gon' blow the bottom I got 20 chains on, I got 20 watches 20 bitches in their 20's, and 20 babymamas I got 20 chains on, I got 20 watches 20 bitches in their 20's, and 20 babymamas  I got 20 babymamas, I got 20 new cars I got 20 thousand on me, no matter to where I'm at I bought 20 new shoes, I bought 20 new scarfs My shoes cost a couple thousands, 600 that Louis scarf I bought 20 new houses, I bought 20 pounds of weed You don't want the 36, you want 20, this 5 on me I got 20 new choppas, I got 20 Desert Eagles I got 20 lil shooters, to shoot them 'cause I don't need toYou might also likeEmbed",0.18,0.817,0.004,-0.9938
6,6,Chief Keef,"The Leek, Vol. 1",24 (Ft. ManeMane4CGG),Dirty Vans,"24's 24's 24's Bang, bang, bang They like all hail Almighty So Damn, damn, damn Almighty So Bang, bang All hail Almighty So They like all hail That dope... Bang Bang  They like all hail Almighty So These bitches love me, these niggas, they don't like me though I spend that money, get it back most likely though I ride that 'Rari fast as fuck, fuck Aiki though Just bought a pint, poured a 6 up in a 24 Just bought a Beamer, I'ma sit it on some 24's Swish, Kobe Bryant, 24 For a verse I did want 20, now I want 24  What I'm ridin' in, it cost 124 Just bought a Gucci linen, that bitch cost me 24 I just bought four pints, that cost me 24 And I will take your life with my Glock 24 I smoke 93 but you smoke 24 My lawyer beat the case, it cost 'bout 24 Gotta take down my connect 'cause he want 24 He paid one for 16 but he want 24 Can't show you no 16 if you ain't 24 And when I was 16, my hoes was 24 My wrist cost 33, but I spent 24 My clip hold 33, but I shot 24 I get 24 hours of sleep then I’m up 24 My niggas gon' ride with me and that's on 24 All hail Almighty So All hail Almighty So You might also like They like all hail Almighty So These bitches love me, these niggas, they don't like me though I spend that money, get it back most likely though I ride that 'Rari fast as fuck, fuck Aiki though Just bought a pint, poured a 6 up in a 24 Just bought a Beamer, I'ma sit it on some 24's Swish, Kobe Bryant, 24 For a verse I did want 20, now I want 24  Just bought a 'Llac, set that bitch on 24's Flexing on you niggas, feeling like I'm Big Glo Up in Cali, pounds going for the 24 Big Cuban Link, it cost about 24 Let me catch an opp, he gon' catch 24 Let me see an opp, I'm gon' stomp I'ma take his life with this Glock 24 Pour a 4 in 20 ounce, call it 24 Doing shows, ain't no security at the show But the Glo and these Glock 24's Posted on the block, pulling 24's Half a book of D, we get it for the 24 Only gun I'm carring is this Glock 24 Shoot him in his head with this Glock 24 It ain't no game, it leave big holes RIP Zay, RIP Snupe They like all hail Almighty So These bitches love me, these niggas, they don't like me though I spend that money, get it back most likely though I ride that 'Rari fast as fuck, fuck Aiki though Just bought a pint, poured a 6 up in a 24 Just bought a Beamer, I'ma sit it on some 24's Swish, Kobe Bryant, 24 For a verse I did want 20, now I want 247Embed",0.14,0.733,0.127,-0.9734
7,7,Chief Keef,,2 Cell Phones,Chief Keef,"Ayy-ayy Turn my headphones up and the mic My hair is blockin’ it Ayy-ayy, ayy-ayy Let me flame this lil’ bleezy up Ayy-ayy, ayy-ayy, ayy-ayy  I got two cell phones won’t even answer none of them bitches Bitches sayin’ I fucked em’ I don’t even fuck with none of them bitches (Hello, hello) Niggas face timing the phone I don’t even fuck with none of them niggas (What up, what up) One lil false maneuver I'ma bust at one of them niggas (Buh, buh, buh, buh, buh) Niggas touch my lil’ cousin then I’m touching one of them niggas (Bitch, bitch) Can’t fuck with that lil’ bitch if she be fuckin’ one them niggas (Thot, thot) I ain’t have my G.L but still went and bought all of them pistols Yeah chief So’ a teacher cause he done taught all of them niggas And when I was broke last time I saw all of them niggas Opps was never on shit, I damn near fought all of them niggas Yeah I'm with all my dogs, but I can't walk all of them niggas Yeah I be fly like eagle but I’ll hawk all of them niggas (Ayy) Pulled up in that jeep it got a hawk all in the trunk 140 on the e-way, yeah I’m ballin this bitch up (Ayy) Bitches call my phone I swear I just talked this bitch up (Ayy) He thought I overdosed, now I’m coughing this shit up Shit don’t be adding up, calculator Dope got me stuck, elevator Niggas owe me, hella favors I-I run through, hella paper I look like I just hopped out, time machine Diamonds straight out, diamond machine Don’t know what I just bought, some kind of machine It came with a beam and 3 magazines (Bang, bang) She thought she was gonna play me, tambourine You know I be off the lean, trampoline Bitch you know I’m a dog, like 17 Put that beam on yo chin, like some shaving cream Got that lil’ pump, and we off 7 beans Shawty shoot some shells, you ain’t ever seen Got the stick and I be waving that bitch, melody First I was broke, then I woke up goin’ on shoppin’ sprees At first I trusted these niggas, I had to stop and see I was rollin’ pass your hood, then I had to stop and pee 16 they was knocking at Granny’s, to cop a G 15 I’ll Rob yo ass, if you got a G Might see me in Chiraq, we got a new mayor now She said she wann fuck me again with this blanket, how I laid her down My pistol sound louder, then how I make it sound The cops want every chance they get to shake you downYou might also likeEmbed",0.216,0.662,0.122,-0.9935
8,8,Chief Keef,"Bang, Pt. 2",2 Much,Zaytoven,"I say these hoes ain't shit, I ain't trippin' on a thot I don't like conversations, is you gon' let me fuck or not? While these niggas sneak dissin', I be tourin' gettin' guap I be flexin' on these suckas, pullin' up in foreign drops These hoes say I'm too much, I think I'm too much Nigga try Almighty Sosa, he get touched These hoes be tryin' too much, doin' too much Bitch, I couldn't call your phone, I was doin' too much  They say I smoke too much, Lean too much T-Roy my shooter and he'll shoot ya I put Tadoe in the cut, Fredo was in it too much If you ain't on that opp shit, then we salute ya I get money too much, spend it too much And if you try to take it, then my niggas shoot ya When I throw it in the air these hoes be doin' too much When we leave it be too many hoes up on the tour bus I just got Kay Kay check we finna hit Toys 'R' Us Spent 20 thousand dollars, think I bought her too much I just got Kay Kay check, finna hit Toys 'R' Us I spent 20 thousand dollars, think I bought her too much  I say these hoes ain't shit, I ain't trippin' on a thot I don't like conversations, is you gon' let me fuck or not? While these niggas sneak dissin', I be tourin' gettin' guap I be flexin' on these suckas, pullin' up in foreign drops These hoes say I'm too much, I think I'm too much Nigga try Almighty Sosa, he get touched These hoes be tryin' too much, doin' too much Bitch, I couldn't call your phone, I was doin' too muchYou might also like13Embed",0.105,0.845,0.05,-0.9489
9,9,Chief Keef,,2nd Day Out,Zaytoven,"Starting off my day with a blunt stuffed Pussy kept on talking he got fucked up Big black Glock and a cup of purp You already know I'm finna sip some sizzurp I'm back off in the kitchen working with the pies Say you need a half of brick, give me twelve-five Fifty pounds of gross, several pounds of midget Tadoe just brought a pretty fucking fifty My gun need a mag, he happy then he mad Someone leavin' real soon, so he send his ass Hop out of that van with like two lil mags And if a nigga try me Imma do his ass I'm counting up the paper in my office room And I'm witch, bitch, please don't make me spark the broom Guns in every little cut, like a fucking savage Hear the SWAT team, come you gotta fucking have it Man I'm tired of buying jocks, I need a rocket launcher You ain't tryna incriminate then bitch stop the camera I used to drive the foreign through my backyard Hit the dough and Imma blow you like a Saks card Sosa back bitch, yeah I'm back bitch That lil stupid ass, dirty ass, black bitch This that new shit, that fuck the jail shit Fuck nigga, no, that it ain't in my heritage You on my shit list, you like a biscuit Granny say if it ain't broke don't try to fix it I got a sick wrist, it cost like six-six Zero zero zero nigga, come and get this I got a stupid swag, please don't touch my Louis bag Pole on me nigga, you gon' make me do you bad Bitch my Louis bag, that bitch Scooby snacks I need an elephant, giraffe and a Cougar cat You might also like Bitch I end my day ten... Bitch I end my day ten in the morning You can sneak diss this bitch still is going We gon' hit his block, pull up, hit the horn I ain't talking the whip bitch, this bitch is blowing Stick a silly nigga now he's silicon Granny what you doing? She say I'm whipping corn I just bough a chopper bitch, it'll shake the storm Pull up auditorium and shake the dorm Saying you can't stand me, pussy take a seat Call 'em McDonalds 'cuz he faking beef Hit the back block and then take the street Piss on his grave, I got to take a leak Standing on the curb and I'm flaming dope Seventeen years old I was strangling hoes Had to grow up and make a bankroll .40 get to singing, she'll take your soul My auntie need some strips, sister need a crib Told her tie your shoes lil' baby and don't even trip I hopped up in that truck with the double cup And it can't spill, I make that bitch buckle up I'm counting up bodies as they fucking drop Nigga think he had them streets, we had to break his lock He got a high fade, we had to shave his top Car so loud vroom vroom, might wake the block Four Porches, nine elevens, and like eight bitches It's a horse on the seat, they tryna take pictures And that pussy nigga scared, you know I hate chickens He done caught a domestic ,it's the state business Make them see the light and it's bright white Young boy brown as shit, but my ice white They spying on the spot with them fucking drones Tell them helicopters get the fucking on Baby I'm lowkey if I'm fucking you I can fucking don't say shit this what I do Smoke them like a kite like my cousin Ku Bullets popping out like a fucking Boo Ayy, ayy, ayy, yeah Phew, Phew, Phew Phew, Phew, Phew Phew, Phew, Phew Second Day out! Ayy! Second Day out! Ayy Ayy! Second Day out! Phew, Phew, Phew Phew, Phew, Phew Phew, Phew, Phew Phew, Phew, Phew Phew, Phew, Phew Phew1Embed",0.165,0.778,0.057,-0.9959
