,Unnamed: 0,Artist,Album,Song Title,Producer,Lyrics,neg,neu,pos,compound
0,0,Ellie Goulding,Delirium (Target Exclusive),Aftertaste,Greg Kurstin,"Hold me like nobody else does Do I get the best of your love? Even when our bodies are drunk Is it me you're stumbling from? Forget the words that you said With your fingers spell out my name Take away the sky in our breath Remember love is a game, love is a game  Don't break, don't fade While we're not real, we're never too late Make time, it won’t hurt Said I’ll go now, but you said it first  I know there's nothing that I can do to make you stay But one thing I know that will always remain And that's the aftertaste The aftertaste The aftertaste The aftertaste The aftertaste  In the midst I'm seeing your face And I can't believe this is fake Blow the blossom into your room As you throw me in disarray There's a button that I need to press There's a face that I need to kiss Come on, give me your heart and your head Make you conscious never resist, never resist You might also like Don't break, don't fade While we're not real, we're never too late Make time, it won’t hurt Said I’ll go now, but you said it first  I know there's nothing that I can do to make you stay But one thing I know that will always remain And that's the aftertaste The aftertaste The aftertaste The aftertaste The aftertaste I know there's nothing that I can do to make you stay But one thing I know that will always remain And that's the aftertaste The aftertaste The aftertaste The aftertaste The aftertaste The aftertaste The aftertaste The aftertaste The aftertaste3Embed",0.026,0.87,0.104,0.9639
1,1,Ellie Goulding,,All I See Is You (Demo),,How could i be sorry if i don't know the crime I should be mad but you never told me why? Still I can't seem to say goodbye You (yeah) When i try to fall back i fall back to you (yeah) When i talk to my friends i talk about you (yeah) When the hennessy is strong all i see is you (is you) You (yeah) No i haven't moved on but trust me i try (yeah) If i give you a call don't hang up the line (yeah) Cus the hennessy is strong all i see is you (is you) Making me the saddest But i kinda want a lonely night Thinking about the salvage Thе things i use to do to you when you werе mine Wish that i still had it Baby you posses my mind You knew me at my baddest Do you know i would never even cross the line? How could you ever leave me without a chance to try How could i be sorry if i don't know the crime I should be mad but you never told me why? Still I can't seem to say goodbye You might also likeYou (yeah) When i try to fall back i fall back to you (yeah) When i talk to my friends i talk about you (yeah) When the hennessy is strong all i see is you (is you) You (yeah) No i haven't moved on but trust me i try (yeah) If i give you a call don't hang up the line (yeah) Cus the hennessy is strong all i see is you (is you) I see your face in every stranger everywhere i go Hear your voice in conversation every word you spoke Nearly blocked you from my phone about a thousand times I know i should say goodbye You (yeah) When i try to fall back i fall back to you (yeah fall back to you baby) When i talk to my friends i talk about you (yeah) When the hennessy is strong all i see is you (all i see is you) You (yeah) No i haven't moved on but trust me i try (yeah) If i give you a call don't hang up the line (yeah) Cus the hennessy is strong all i see is you (is you) All i see is you All i see is you Yeah Is you All you1Embed,0.07,0.674,0.256,0.998
2,2,Ellie Goulding,,All I Want,,"All I want is nothing more To hear you knocking at my door 'Cause if I could see your face once more I'd die a happy woman, I'm sure When you said your last goodbye I died a little bit inside I lay in tears in bed all night Alone without you by my side  But if you loved me, why'd you leave me? Take my body, take my body All I want is, and all I need is To find somebody, I'll find somebody Like you, like you, like you-ou  'Cause you brought out the best of me Part of me you've never seen You took my soul and wiped it clean Our love was made for movie screens  But if you loved me, why'd you leave me? Take my body, take my body All I want is, and all I need is To find somebody, I'll find somebody You might also like  If you loved me, why'd you leave me? Take my body, take my body All I want is, and all I need is To find somebody, I'll find somebody Like youEmbed",0.101,0.646,0.253,0.99
3,3,Ellie Goulding,Bright Lights,Animal,Starsmith,"I'll show you all of the places I'm dreaming of I'll take you to the ocean, I'll bring the sun We are seventeen, we have just begun I have love to fight for and then some But you are the one The one, the one, the one, the one, the one, the one, the one  Wake up in the morning, we're paralyzed We'll fly into the garden like butterflies There will be no blood and there'll be no pain I want to fall in love with you again Again again again again again again again again again  You have stolen all my senses There's a fever in my heart And you are taking my defenses You are pulling me apart Forever we're young and we are dying And we will be spilling all our blood So I will take away my feelings I will be an animal An animal An animal You might also like I'll tie you in my arms, I will smother you We'll tell each other lies like we tell the truth I'll colour in the sky and I'll colour you I want to draw on your skin again Again again again again again again again again  You have stolen all my senses There's a fever in my heart And you are taking my defenses You are pulling me apart Forever we're young and we are dying And we will be spilling all our blood So I will take away my feelings I will be an animal An animal An animal  We will run away from danger We will run away  You have stolen all my senses There's a fever in my heart And you are taking my defenses You are pulling me apart Forever we're young and we are dying And we will be spilling all our blood So I will take away my feelings I will be an animal An animal An animalEmbed",0.147,0.756,0.097,-0.9686
4,4,Ellie Goulding,Halcyon (Deluxe Version),Anything Could Happen,Jim Eliot & Ellie Goulding,"Stripped to the waist, we fall into the river Cover your eyes so you don't know the secret I've been trying to hide We held our breath to see our names are written On the wreck of '86 That was the year I knew the panic was over  Yes, since we found out, since we found out That anything could happen, anything could happen Anything could happen, anything could happen Anything could happen, anything could happen Anything could   After the war, we said we'd fight together I guess we thought that's just what humans do Letting darkness grow As if we need its palette and we need its colour  But now I've seen it through and now I know the truth That anything could happen, anything could happen Anything could happen, anything could happen Anything could happen, anything could happen Anything could You might also like  Baby, I'll give you everything you need I'll give you everything you need, oh I'll give you everything you need But I don't think I need you  Stripped to the waist, we fall into the river Cover your eyes so you don't know the secret I've been trying to hide We held our breath to see our names are written On the wreck of '86 That was the year I knew the panic was over  Yes, since we found out, since we found out That anything could happen, anything could happen Anything could happen, anything could happen Anything could happen, anything could happen Anything could  I know it's gonna be, I know it's gonna be I know it's gonna be, I know it's gonna be I know it's gonna be, I know it's gonna be I know it's gonna be, I know it's gonna be, oh (But I don't think I need you) (But I don't think I need you) (But I don't think I need you) (But I don't think I need you)39Embed",0.115,0.85,0.035,-0.9728
5,5,Ellie Goulding,,Anything Could Happen (Alex Metric Remix),,Stripped to the waist We fall into the river Cover your eyes So you don't know the secret I've been trying to hide We held our breath To see our names are written On the wreck of '86 That was the year I knew the panic was over  Yes since we found out Since we found out  That anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could happen You might also like Stripped to the waist We fall into the river Cover your eyes So you don't know the secret I've been trying to hide We held our breath To see our names are written On the wreck of '86 That was the year I knew the panic was over  Yes since we found out Since we found out  That anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could happenEmbed,0.093,0.872,0.035,-0.9022
6,6,Ellie Goulding,,Anything Could Happen (Blood Diamonds Remix),BloodPop® & Ellie Goulding & Jim Eliot,"We fall into the river Cover your eyes So you don't know the secret I've been trying to hide We held our breath To see our names are written On the wreck of '86 That was the year I knew the panic was over Yes since we found out Since we found out That anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could After the war we said we'd fight together I guess we thought that's just what humans do Letting darkness grow As if we need its palette and we need its colour But now I've seen it through And now I know the truth That anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could Baby, I'll give you everything you need I'll give you everything you need, oh I'll give you everything you need But I don't think I need you Stripped to the waist We fall into the river Cover your eyes So you don't know the secret I've been trying to hide We held our breath To see our names are written On the wreck of '86 That was the year I knew the panic was over Yes since we found out Since we found out That anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could I know it's gonna be I know it's gonna be I know it's gonna be I know it's gonna be I know it's gonna be I know it's gonna be I know it's gonna be I know it's gonna be But I don't think I need you But I don't think I need you But I don't think I need youYou might also likeEmbed",0.12,0.854,0.026,-0.9788
7,7,Ellie Goulding,,Anything could happen - radio 1 live lounge version,,"Cover your eyes, so you don't know the secret I've been trying to hide, we held our breath To see our names are written on the wreck of '86 That was the year I knew the panic was over Yes since we found out, since we found out That anything could happen, anything could happen Anything could happen, anything could happen Anything could happen, anything could happen Anything could After the war we said we'd fight together I guess we thought that's just what humans do Letting darkness grow, as if we need its palette and we need Its color But now I've seen it through and now I know the truth That anything could happen, anything could happen Anything could happen, anything could happen Anything could happen, anything could happen Anything could Baby, I'll give you everything you need I'll give you everything you need, oh I'll give you everything you need But I don't think I need you You might also likeI know it's gonna be, I know it's gonna be I know it's gonna be, I know it's gonna be I know it's gonna be, I know it's gonna be I know it's gonna be, I know it's gonna be But I don't think I need you, but I don't think I need you But I don't think I need you, but I don't think I need youEmbed",0.106,0.873,0.021,-0.946
8,8,Ellie Goulding,,Anything Could Happen - Radio Edit,,"Cover your eyes, so you don't know the secret I've been trying to hide, we held our breath To see our names are written on the wreck of '86 That was the year I knew the panic was over Yes since we found out, since we found out That anything could happen, anything could happen Anything could happen, anything could happen Anything could happen, anything could happen Anything could After the war we said we'd fight together I guess we thought that's just what humans do Letting darkness grow, as if we need its palette and we need its color But now I've seen it through and now I know the truth That anything could happen, anything could happen Anything could happen, anything could happen Anything could happen, anything could happen Anything could Baby, I'll give you everything you need I'll give you everything you need, oh I'll give you everything you need But I don't think I need you You might also likeI know it's gonna be, I know it's gonna be I know it's gonna be, I know it's gonna be I know it's gonna be, I know it's gonna be I know it's gonna be, I know it's gonna be But I don't think I need you, but I don't think I need you But I don't think I need you, but I don't think I need youEmbed",0.106,0.873,0.021,-0.946
9,9,Ellie Goulding,Halcyon (Tesco Exclusive),Anything Could Happen (White Sea Remix),Jim Eliot & Ellie Goulding,"Cover your eyes so you don't know the secret I've been trying to hide We held our breath to see our names are written On the wreck of '86 That was the year I knew the panic was over Yes, since we found out Since we found out That anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could After the war we said we'd fight together I guess we thought that's just what humans do Letting darkness grow As if we need its palette and we need its colour But now I've seen it through And now I know the truth You might also likeBaby, I'll give you everything you need I'll give you everything you need, oh I'll give you everything you need But I don't think I need you Stripped to the waist We fall into the river Cover your eyes So you don't know the secret I've been trying to hide We held our breath To see our names are written On the wreck of '86 That was the year I knew the panic was over Yet since we found out Since we found out That anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could I know it's gonna be I know it's gonna be I know it's gonna be I know it's gonna be I know it's gonna be I know it's gonna be I know it's gonna be I know it's gonna be Oh, whoa But I don't think I need you But I don't think I need you But I don't think I need you But I don't think I need youEmbed",0.128,0.855,0.016,-0.9835
