,Unnamed: 0,Artist,Album,Song Title,Producer,Lyrics,neg,neu,pos,compound
0,0,Gucci Mane,Breath of Fresh Air,06 Gucci (Ft. 21 Savage & DaBaby),Ambezza & Nik Dean,"(Ambezza did it) Long ghetto hair on my bitch ('06, yeah, '06), yeah (Yeah) Ghetto hair on my bitch ('06) Look like Flare in '06 Long ghetto hair on my bitch (It's Gucci) Yeah (Go)  Nigga, this that '06 Gucci Mane My lil' nigga, gone off a pill, the nigga walk around like Superman Somebody calm him down, he boutta shoot the man Nigga, this that '06 Gucci Mane My trunk won't be still, I'ma play the music loud as the music can You don't like that way I'm ridin'? Catch an Uber then Yeah, nigga, let's go  Feel like La Flare in '06 (Yeah) Long ghetto hair on my bitch (Uh-huh) I came from them, I wasn't shit (What they do?) Now they sit there and stare at my whip (Okay) I can't even put it in park (Nah) Somebody down to get hit (Yeah) I need somebody carryin' my fifty She ran over her man, he a jit And you could throw my bowl on the floor, I'm a dog (Woof, woof), nigga damn near a pit (Woof, woof) I don't think none of them niggas with it at all (Nah), niggas damn near a bitch (None of these niggas) Only 'bout winter, spring, summer, fall (Nah) without my hand on the stick (Nah) And I'll politely pull up in a brand-new car and bend over his bitch (Yeah) You might also like Nigga, this that '06 Gucci Mane My lil' nigga gone off a pill, the nigga walk around like Superman Somebody calm him down, he 'bout to shoot the man Nigga, this that '06 Gucci Mane My trunk won't be still, I'ma play the music loud as the music can You don't like that way I'm ridin'? Catch an Uber then Yeah, nigga, let's go  I feel like it's me in '06 and '07, '08, and even '09 ('09) Still hard to kill, the last nigga tried, go ask him, he didn't survive (What happened?) I was sittin' in the county, these niggas off runnin' to help, they ain't send me a dime (Fuck 'em) These niggas be cap, the way I was trappin', went platinum before I was signed (Signed) Geeked up, I stayed out of my mind (Geeked) Still was ahead of my time (Wop) And I was that man in the middle but made so much profits, you thought it was mine (Skrrt) And everything top of the line (Top) And nothin' ain't changed, I'm still in my prime (Brr) I make it look easy, these niggas some copycats, they'll do whatever to shine (It's Gucci)  Nigga, this that '06 Gucci Mane (Huh?) My lil' nigga gone off a pill (Yeah), the nigga walk around like Superman Somebody calm him down, he 'bout to shoot the man (Huh?) Nigga, this that '06 Gucci Mane (Huh?) My trunk won't be still, I'ma play the music loud as the music can You don't like that way I'm ridin'? Catch an Uber then Yeah, nigga, let's go 21, 21, 21 Pistol whip your mans (21) She eat the dick with both her hands (21) Pourin' up Wock', I'm tryna stand (21) Clap at the opps like I'm a fan (21) I got a dub for my advance (21) Hit for a hundred on Moreland Ave Long live Shawty Lo, bitch, I'm the man (21) Home invasion, we tryna go loot somethin' (Straight up) Put his face on the stove, thought he knew somethin' (Straight up) You a stepper, then go put your boots on (Straight up) He get hit the K if he move wrong (Straight up) G block, yeah, I trapped in the school zone (Straight up) You know I'm the wrong nigga to snooze on (21) Half a ticket on the Rolex blue stone (21) Reach for it, face shot, cut the news on, pussy (21, 21)  Nigga, this that '06 Gucci Mane My lil' nigga gone off a pill, the nigga walk around like Superman Somebody calm him down, he 'bout to shoot the man Nigga, this that '06 Gucci Mane My trunk won't be still, I'ma play the music loud as the music can You don't like that way I'm ridin'? Catch an Uber then Yeah, nigga, let's goEmbed",0.091,0.758,0.151,0.9832
1,1,Gucci Mane,Exclusive,100 Bails Of Kush,,"Icy money, man, bar season on deck, man, stick boys on deck, man Thirty two entertainment, I do this shit for the hood, blood in blood out, my clique, my nigga What's happenin' nigga, East Atlanta we stand out, nigga Zone 6 affiliate, Bouldercrest originated Get cremated, decapitated, you bitch Burn one  A hundred bales of kush, you can't even smell me rookie I got case to vape, I turn coke to cookie Lookie, lookie, lookie, lookie, here comes Gucci My bar so sound so I just overdo it Duece is dab and painted orange on my McClaren Green color carriage, got the favorite cutie starin' I'm sprayin' with nobody, I'm signed with nobody I count my own money, I make my own money I own my own publishing, check in for a feature I stack for my mortgage, twelve hundred for my sneakers Reefer keep her cockin desert eagles for my people Reefer keep her cockin desert eagles for my people I got  eagles and dubs, corners and people Them birdies your uncle didn't get Pound cans of spinach Flip jugs of X, liters'll let rain Avalanche of white, a million bales of green I said g-g-g-g-ive me a brick Fuck a bitch, all I need is a gun and a clip I said g-g-g-g-ive me a brick Fuck a bitch, all I need is the motherfuckin' 6, nigga Gimme, gimme, gimme, gimme a brick I'ma take them down, break them down with my clique Go in, them re-rock, them bring back Serve them to the lame ass niggas for the stack OJ, what's up, what's up, what's up, wait Gucci, my grill, presses, cuttin' Slick boy, you know they wouldn't leave It's the S-O-I-C-Y-A-G, you see? I-M-A-E-E, he so damn fly Who is his stylist, the boy be wilin' He playful on the mic, man the boy so childish He make it cross over, move just like IvanYou might also likeEmbed",0.118,0.837,0.045,-0.979
2,2,Gucci Mane,Trap-Tacular,100 Grand,DJ Scream,"First you save a couple rubber bands (Yeah!) Then you bring em back to Gucci Mane (Yeah!) You know somebody, Shawty you the man (Yeah!) Imma show you how to stack 100 grand (Yeah!) Verse 1: 10 years old with a 8-ball jacket 9th grade Mack 9 got a 357 Before I bought my first 50, man I stole a Mack 11 Had to break in partner's house, First mission was successful Every dollar to my name in my Crease Guess Jeans Starter jacket, starter shirt, Try to take it, get murked After school, whatever, yeah, awful lot I'm rollin' All you gotta do is keep your next door neighbor smokin' I'm poppin' pills and drinking off, Man I'm losing focus Salt like a bag boy, cus I stack the groceries Yeah I make it rain, but I feel like its promotion Bitches tellin' other bitches 10,000 on Thursday 42 is worthy, Zone 6 is ervy I could front ya shawty but I feel you don't deserve it Hook:x2 First you save a couple rubber bands (Yeah!) Then you bring em back to Gucci Mane (Yeah!) You know somebody, Shawty you the man (Yeah!) Imma show you how to stack 100 grand (Yeah!) You might also likeVerse 2: Before it pop, before it dock, Get it hot then make it spin Splash it with the H2O, Hate to say I told ya so Two hundred forty-seven thousand, Can I owe you 4? Long as Gucci owe ya dog, then you're truly never broke Heavy cus I'm smoking, but I be with hoes that never smoke Don't won't none in their lungs, but they take some in their throat My price look like I own the boat, Damn look like I'm on the boat Like actually I went to South America and bought this coat Got the money? Where's the dope? Meet me at the Texaco Backseat of my Chevy, laughing tired, Thought you'd never go Here's the money, Where's the coke? Meet me at the Amoco Backseat of my Bentley, Tired of laughing, Thought you'd never go Hook:x2 First you save a couple rubber bands (Yeah!) Then you bring em back to Gucci Mane (Yeah!) You know somebody, Shawty you the man (Yeah!) Imma show you how to stack 100 grand (Yeah!)Embed",0.07,0.732,0.198,0.9934
3,3,Gucci Mane,Writing On The Wall,"1017 Brick Squad (The Movement) (Ft. Frenchie, Waka Flocka Flame & Wooh da Kid)",,"My house so big, we playing Where's Waldo Me and your bitch playing hide and go dick  she my ride or die bitch If a nigga catch , he gon die right quick If them cops go past, hit the gass, and I'm outta here M6 Beamer like a jet without the landing gear  like a jewlery store, it's Gucci  buying new shit I act stupid, so bitch go get me a tooter Your daughter is a snotter, so I give the throat game to her I'm a monster eating lobster and pasta, cause I'm a G She a model, she like to swallo, cause she a freak  They say Frenchie flexin, yes It get hotter when I fire, Brick Squad bring the pain Come at us, why bother, nigga? Step up, come harder, nigga , I'm your father, nigga We do this all day,  We coming like butter on cornbread  get her home  blowing like a sacksaphone My shirt I take off I'm on my grind, like Tony Hawk on a skateboard Pussy never pay for, pussy pay me Why you got them dice for? Pussy nigga pay me Frenchie! You might also like I'm so iced up when I give 'm hell Quarter brick, 20 benzos, what a nigga  Green chicken team, call it 1017 Mix the soda with the coca, I be on the Lean I can fit 80,000 in these 7 jeans All the shooters, they shoot ya  Waka always running things,  Mama calling, but I'm working, and them feds lerking 1 2, beat a nigga flat too You poison, rat food, strip his ass nude For 1 reason, Flocka Flocka Flocka Eat a nigga like , light his ass up with the K Flocka!  Wooh Da Kid my name,  Supersized strap, for all you small fries First the crack shit, you niggas stand by Niggas can't see like a nigga with a glass eye I pull over for my niggas on lockdown Fill your  make it out, here's a black round You don't want no pistol play So Icey Jack Boys, it's a holliday Hood bitch told me where a nigga stash Come and  touch my pack, I just get right back Better watch what you're saying to a freak bitch Swerving all around your house, like I'm seasickEmbed",0.183,0.718,0.099,-0.991
4,4,Gucci Mane,"So Icy Gang, Vol. 1","1017 Freestyle (Ft. BIG30, Foogiano & Pooh Shiesty)",Honorable C.N.O.T.E.,"(Honorable C.N.O.T.E.)  It just can't be what it can’t be 'cause it's simply what I say it is (Say it is) Bust it out the vacuum seal, you can smell this shit in Fayetteville (Smell in Fayetteville) Black Jaguar, no Jacksonville, I don’t even know what year it is (Nope) He didn't guard his taco, now his ground beef on his steering wheel (Brrt) Coachin', now my niggas ballin', you can't peep what play it is (Ball) They so full of dope, they probably don't even know what day it is (No, no) I robbed the middleman, he probably don't even know who yay it is Judgin' on my prize, I tote big fire, this ain’t no fire drill Ballin’ like the Final Four, got more devils than Duke and them (Duke) Ain't no mеan muggin’ or shoulder shruggin', see 'em, shoot at them (Shoot) Nigga took down onе of my guys, so I want at least two of them (Two) It's a lot of niggas still play both sides (Ayy, ayy), that’s why Gucci through with them (Let's go)  Ayy, them 7.62s shoot at him (Boom) Don't play with Wop while Pooh with him (Ho) Fox 13, we rep that murder gang, just ask or Google them (Huh? Mob) Don't talk to me about your opps unless you came from shootin' at them (Foo, ho) I'm clutchin' my bump stock in the drop top, we bumpin' who-is-him (Huh? Huh? Ho) Pop a Perc', now I'm geeked up, guess this how them nerds feel (Huh? Huh?) Pass my nigga a new chopper, let's work on your third kill (Foo) Before we pull off, circle the block, see how far my serve is (Skrrt, skrrt, boom) It's six K for a pint of Wock' if you want your syrup with the seal (Huh? Mud, mud) That's for sure, keep that Draco in my lap, scream, ""TTB"", we trained to blow (Huh? Boom, boom, boom, boom, boom) New Cartier hit with the Cuban link, had to switch out the rope (Ice, ice, ice, ice, ice) Five hundred shots up in this bitch, if you play, we gon' do the most (Huh? Ho, ho) Two baby chops hid in my coat, bitch, I'm havin' power like Ghost (What? Who?) You might also like AK with the machete sword gon' open up your belly button (Uh) No, you did not catch the body, why you wanna take credit for it? (Huh?) All my niggas Choppa Gang, but different sets like Teletubbies (Yeah) Nothin' but convicts in this studio, I'm with my felon buddies (Well, damn) Throw back Percocets and pour up Wock', we call that powered up (Go) Put four holes up in that big boy back, call him an Audi truck (Grrah) Get shot up in your face for cursin', nigga, better not shout at us (Pow, pow) Better know you chasin' death, talkin' 'bout you comin' after us (Pyoom) They say, ""30, you done lost it,"" poured up in the water bottle (Lean) Strapped up with a Judge on me, I got the biggest revolver (Ho) Heard my new opp was a problem, popped out with that problem-solver (Pop) I got killers on payroll and they gon' kill you 'bout they dollar (Ayy)  Nigga ever play with us, we gon' get active, handle that (We handled them) I send Scarr deep on the fly, BIG30 blitz, he get the sack (Go, let's go) Pooh let the whole hundred go, so I call him Wilt Chamberlain (Blrrrd, blrrrd) I throw this bomb just like Brady, Big Wop like Bill Belichick (Belichick) Twenty in this F&N shoot like Durant, my arms extend (F&N, my arms extend) Don't start no conversation 'bout beef 'cause, boy, your life will end (No, don't do no arguin') I would never play with no man, I shoot first, ask questions later (Blrrrd) Diamonds on me frozen, nigga, why you think they call me glacier? (Ice, ice) I smoke Backwoods back to back, I get high like I'm Snoop or somethin' (Just like I'm Snoop or somethin') Mama said I need to stop, pretty soon, I'ma need a lung (Might just need a lung) It's the new 1017, we bangin' like N.W.A. (Blrrrd) I fuck hoes like Eazy-E, I got the curve without the AIDS (Without the AIDS) It's the way that I was raised, you break the rules, I gotta spin (Gotta show you) To the ten commandments, we add one, eleven, do 'em in (Blrrrd, blrrrd, blrrrd, blrrrd) I know your ho wanna fuck because she see these Cuban links (I know she see this ice) When I stuff your throat with dick, you better look at me, don't blink (Bitch, you better not blink) Nigga, when you hear about it, don't come ask me, ask your ho (Ask your ho) Bitch, it's Gutta Gang and I get gutta, you know I bang fours (You know we throwin' fours) When it come to gettin' money, they know that I get aggressive Think about dissin' me, think again, boy, might as well get the stretcher (Blrrrd) Blrrrd, blrrrd, Big BlrrrdEmbed",0.147,0.769,0.084,-0.995
5,5,Gucci Mane,1017 Mafia,1017 Mafia (Ft. Young Thug),Drumma Boy,"Thugga and Guwop got 100 choppas 1017 we the, Mafia We the motherfuckin' mafia nigga No less than 20 in my trousers lil nigga  Got these bitches bending over like a lineman Make the pot, bitch straight over like a linemen Everybody get that green, we the live men All my slime crickets, I think we need lemons 1017 the mothafucking movement Pipe that bitch down, I'ma duel it The way I  throw em through  it, my arm  a Uzi Bought a bitch a pair of shoes, and fuck her booty Hol'  it, don't let up, these niggas can't catch with thugga no thugger We eatin' no other I'm chubby like my brother I'm chubby like my mother We take all yo goodies, and go straight to Costco Catch up with yo bitch, and turn her into a sucka We not overseas but you know we Russian Picnic early, clubbin later I'm not no candy,  but I am a jawbreaker You think I'm gay,  I'ma send ya to meet your maker Put a hole in yo head like you's  a piston You might also like Thugga and Guwop got 100 choppas 1017 we the, Mafia We the motherfuckin' mafia nigga No less than 20 in my trousers lil nigga Thugga and Guwop got 100 choppas 1017 we the, Mafia We the motherfuckin' mafia nigga No less than 20 in my trousers lil nigga7Embed",0.119,0.814,0.067,-0.8957
6,6,Gucci Mane,La Flare,12,Zaytoven & Albert Allen,"There go 12 my nigga You better bail my nigga Can't be locked down in no motherfuckin' cell my nigga You better run my nigga Cus here they come my nigga Hide your bomb and your motherfuckin' gun my nigga There go 12 my nigga You better bail my nigga Can't be locked down in no motherfuckin' cell my nigga You better run my nigga Cus here they come my nigga Hide your bomb and your motherfuckin' gun my nigga  Orange suit, shower, shoes, jail house tattoos I keep money on my book, I live the life of a crook Ain't no sunshine nigga, i'm just doin' my time When I touch down on the block i'm poppin' bottles of wine Gucci Mane, i'm a motherfuckin' G I'm looking out for twelve cus they looking out for me And if I see them crackers then a nigga gotta skeet Can't let them pussy boys play a nigga off the street And plus a nigga gotta pack a fat gun, if he tote a crack bomb Never caught a dope case? Don't try to catch one First one to skeet on my feet be them air force ones Running like a slave in them days of the hot sun You gone get locked up, you froze up, they rolled up Popped and got hit with that billy club, it's swole up Mama mad as hell cus she gotta bail your tail out Tired of the stress, so she put your stupid ass out Back doing the same thing, selling crack cocaine Police know your name, but you just won't lay low man It's a dirty game when you slangin' them birdies Got caught with a brick, and they hit the trick with 30 Probably gone do 10 but a dub on that paper man Trappin' in Decatur better run from them haters man You better run from them haters man Better run  from them haters man You might also like There go 12 my nigga You better bail my nigga Can't be locked down in no motherfuckin' cell my nigga You better run my nigga Cus here they come my nigga Hide your bomb and your motherfuckin' gun my nigga There go 12 my nigga You better bail my nigga Can't be locked down in no motherfuckin' cell my nigga You better run my nigga Cus here they come my nigga Hide your bomb and your motherfuckin' gun my nigga  The police, DCPD the crime rate gone increase brave bring your Glock and leave your pepper spray A paddy wagon full of yay, is you asking where I stay? Getting paid off the money from a drug raid Idolized by the innocent American youth I'm with these billy clubs, big gats and them bulletproofs That's why these cop killer bullets in my clip I'm infiltrating your vest and drawing some smiley faces on your chest 9-1-1 in my community is a waste of time They don't prevent the shit, but come when you commit the crime Then put a flag on a casket when a pig drops? What about my boy who got popped by that corrupt cop? We got the right, to get our ass whopped on sight Police man by day, a fucking Klans-man by night I'm shooting birds at your ass standing on the corner Fuck dodging 12, lil jits go waiting on em There go 12 my nigga You better bail my nigga Can't be locked down in no motherfuckin' cell my nigga You better run my nigga Cus here they come my nigga Hide your bomb and your motherfuckin' gun my nigga There go 12 my nigga You better bail my nigga Can't be locked down in no motherfuckin' cell my nigga You better run my nigga Cus here they come my nigga Hide your bomb and your motherfuckin' gun my niggaEmbed",0.182,0.706,0.112,-0.9919
7,7,Gucci Mane,East Atlanta Santa 3,12 Days of Christmas,J. White Did It,"True story I used to hate Christmas For real  On the first day of Christmas, my true love sent to me A half of a brick, told me feed my family I took it to the hood, then I dropped it in the sink (Skrrt, skrrt, skrrt) Then I whipped it into a whole thing Jumped off the porch early, man it was '93 I had old hoes on my dick when I was 13 (Facts) On the second day of Christmas, I bought an MC Supersport and I set it on G’s Wopped so many niggas had to paint that bitch green I'm the Grinch that stole Christmas, nigga ask about me On the third day of Christmas, my old plug sent to me Ten milk jugs full of pills and like eighty bales of weed On the fourth day, said, ""Fuck that shit,"" went on a spree I got niggas still want payback for shit did in '03 It’s vibe, what the fuck you want a fifth and on the sixth On the seventh day of Christmas, got a new drum for the stick (Wack' em)  Shit funny now Ain't funny then, yeah Fuck it You might also like On the eighth day of Christmas, I got into a beef (I did) Ninth day of Christmas, they beggin' me for peace (They did) Tenth day of Christmas, they callin' up police (Chill) Niggas try to stop it, but they started it with me Rentals called the house, they gon' terminate the lease (No) Eleventh day of Christmas, put our shit out on the streets (Fuck) Twelfth day of Christmas, got my momma losin' sleep It might be Christmas to you, but just another day to me  I hate Christmas2Embed",0.154,0.794,0.052,-0.9847
8,8,Gucci Mane,Back to the Traphouse,15 Minutes Past the Diamond,Zaytoven,"Gucci Mane, Gucci Mane geah Gucci Mane, Gucci Mane uhh Gucci Mane, Gucci Mane {*2X*} So Icy E-N-T {*3X*} It's the kid {*2X*} It's the kid again {*echoes*}  Shawty asked me what time it is? I said it's fifteen minutes past the diamonds bitch An Laflare, in the cockpit, Gucci the prophet I Met Her Ass shoppin, West coast hoppin  Gucci~! Niggas get Boxed In I get Cochran Now ask Josh Avanta{?} or Egalin{?} Lawyers, doctors, and policemen Jewelers, Mueller, Jacob, Breitlin My hood life Thunder the verse like lightning My flow so frightening, it not nothin nice man See I shoot bul-lets and you shoot dice man It's my life man, so Im Ray Right Man See I'm no red man, and I'm no white man I don't Be Countin my Aston Martin My chain be shinin, my grill be sparklin It's Gucci darlin, now whassup shawty? You might also like  Shawty so sexy but she be flexin Oh he ride Lexus, ooh I fly frequent Oh he pop bottles, then I'm not drinkin Oh that smell stinkin, what I'm just thinkin Its Cold outside why didn't you Mink it? Oh boo you left it, so bitch I bet ya Fifty dollar ring with a four dollar outfit Talkin 'bout your man tell him why you a trick bitch On to the next one, shawty the best one From Houston, Texas, damn she vibrant Crushin, blushin, I got her Ass smilin The sunburnt eyelids, but I'm not whylin I'm admirin, she perspirin The way she dancin, has got me risin Let's go kick it, let's go shoppin Tear the mall up girl I'm not poppin   It's Gucci baby, it's +groovy baby+ The Maybach mango, the inside gravy My wrist game crazy, His Necc Piece Hazy My 180, Your Chain Fugazi The black Slim shady, I know they hate me Ya Wife Want date me, but you won't Let Her Cuz you know better, cause you gon' save her I know you Pay her, Damn That Lame Boiii But that's not playa, and that's not gangsta My fingers got The Paper Cuts But I'm no banka See I'm Ah Thinka, Straight Up Ship SInka So Icy Entertainment we cuttin off Fangaz 1Embed",0.142,0.781,0.077,-0.9734
9,9,Gucci Mane,Back to the Traphouse,16 Fever,Reefa,"I'm charging 16 fever, 16 fever, nigga my price cheaper, 16 fever  16 fever coca-ina X pills, bubble kush, mid-grade reefer Hoes ride dicks, dog, but I ride Beemers A square rectangle cost 16 fever  16 5-0, there go 5-0 I'm up 2-5 but I need 4 more I got uncles blowing bundles, mine do numbers while I drive lambo Off-white yayo, digital scale Fishscale sending my pigeons by mail Bring in my drain folks, I just bring me that caine, folks Gucci got good dope, pills, purp and sizzurp My workers don't move nothing less than a bizzurd Gucci got good dope, pills, purp and sizzurp My workers don't move nothing less than a bizzurd   Bricks: can't keep em 16 fever, Beemer-speakers, geek-a-meters Misdemeanors, several subpeonas See, I'm gonna drink up cause we just linked up The squad been teamed up, we cutting off fingers It's 16 fever and that's since april My Corvette paid for, my old-school paid for The hummer roll up? That means you assed out And you didn't cash out, see this my traphouse I slam fiends backs out, we push white sacks out See this my traphouse, I slam fiends backs out We push white sacks out, them backs get pushed out You might also like  I'm scraping the bowl up, I'm whipping up cake mix But this ain't red velvet! Don't eat it, you smoke it Your options are open: you even can snort it! 3 dollar sacks so you know you can score it Say ""you can't afford it"". Yo, I can't ignore it Well go call them dope boys, you know you feel boring! You know that you fiending, you know that you need it It's Gucci, I'm greedy. My niggas stay eating2Embed",0.079,0.876,0.045,-0.7232
