,Unnamed: 0,Artist,Album,Song Title,Producer,Lyrics,neg,neu,pos,compound
0,0,Katy Perry,Witness (Deluxe),Act My Age,Noah Passovoy & ILYA & Rationale & Mark Crew,"I'm thirty-something going on thirteen Still a sponge to everything Saucer eyes wide, yeah, I still believe And a sparkle in my steps Smiling with my teeth  They say that I might lose my Midas touch They also say I may become irrelevant But who the fuck are they anyway? I don't care what they say  I won't act my age Time is just an invention man has made No, I won't act my age It's just my reflection that is out of date 'Cause it's all in your attitude It's all in your point of view I won't act my age Just need a little bit of Peter Pan and some imagination No, I won't act my age  So, I recommend that you lose your mind It was the only thing that was keeping me behind You might also like They say, ""Curb your curiosity"" They also say, ""Prepare to amend your dreams"" But who the fuck are they anyway? I don't care what they say  'Cause I won't act my age Time is just an invention man has made No, I won't act my age It's just my reflection that is out of date 'Cause it's all in your attitude It's all in your point of view I won't act my age (C'mon) Just need a little bit of Peter Pan and some imagination No, I won't act my age  How old would you be? Yeah How old would you really be If you didn't know, yeah How old you really were? How old would you be? Yeah How old would you really be If you didn't know (Know) How old you really were? (Hey) I won't act my age Time is just an invention man has made No, I won't act my age (Oh no) It's just my reflection that is out of date 'Cause it's all in your attitude It's all in your point of view I won't act my age Just need a little bit of Peter Pan and some imagination No, I won't act my age  Oh-oh, I won't act my age Oh-oh-oh, yeah Oh-oh-oh Oh-oh-oh, yeah Oh-oh-oh I won't act my age12Embed",0.108,0.811,0.08,-0.9139
1,1,Katy Perry,One of the Boys (Japan Edition),A Cup of Coffee,Glen Ballard,"I take these turns a bit too fast Trying to leave you in my past The CD skips our favorite songs Our greatest hits just don't belong I really love to hate this Love, hate, hate-love  Relationships are overrated Over my dead body is how this will end You said it's over and I could go for Another chance to do this over again  So this is it? After all we've been through We called it quits and now I'm about to I've lost my grip or what little I had left You said it's over and I could really go for A cup of coffee and an overdose Leave it all behind me, you'll see it when you finally find me Comatose or pretty close Cup of coffee and an overdose  I pop these pills like Cracker Jacks And the prize, the glazed eyes just watching you react When you're depressed, you sleep too much I'm not sure if I'm waking up You might also like It's overrated Over my dead body is how this will end You said it's over and I could go for Another chance to do this over again  So this is it? After all we've been through We called it quits and now I'm about to I lost my grip or the little I had left You said it's over and I could really go for A cup of coffee and an overdose Leave it all behind me, you'll see it when you finally find me Comatose or pretty close Cup of coffee and an overdose   You said it's over and I could really go for A cup of coffee and an overdose Leave it all behind me, you'll see it when you finally find me Comatose or pretty close  I stood in line without you Oh I stood in line without you I, I-I-I, I, I stood in line I stood in line without you And I don't tell you All they ever thought (I stood in line without you) About you (I stood in line without you) Well, without you (I stood in line without you) Is everything I've got I stood in line without you And I don't tell you (Yeah, only, if only) All they ever thought about you (Ever thought about you, pretty face) About you Well, without you Is everything I've got I stood in line without you And I don't tell you All they ever thought…2Embed",0.102,0.822,0.075,-0.8213
2,2,Katy Perry,,Agree To Disagree,Nick Trevisick,"You hate the sand between your toes I like the beach on a sunny day I like pink margaritas It appears you like beer I like a foreign accent You just say ""What? What the hell they say?"" We got different perspectives Night and day, but that's okay  Sometimes I'd like to trade you in For someone more like me You tell me I was right again We get on famously Life would be boring without you to disagree Yeah yeah, yeah yeah, yeah yeah (We agree to disagree) Yeah yeah, yeah yeah, yeah yeah (We agree to disagree) Yeah yeah, yeah yeah  You like to fight in silence I like to scream while I'm breaking plates You like the heavy metal But I like songs to sing along to You might also like Sometimes I like to trade you in For someone more like me You tell me I was right again We get on famously Life would be boring without you to disagree Yeah yeah, yeah yeah, yeah yeah (We agree to disagree) Oh yeah yeah, yeah yeah, yeah yeah (We agree to disagree) Yeah yeah, yeah yeah  And I will, but you won't And I do, but, but you don't We won't budge either way But we like it, we like it  Sometimes I'd like to trade you in For someone more like me You tell me I was right again We get on famously Life would be boring without you to disagree Yeah yeah, yeah yeah, yeah yeah (We agree to disagree) Yeah yeah, yeah yeah, yeah yeah (We agree to disagree) Yeah yeah, yeah yeah, yeah yeah (Let's agree to disagree) Yeah, yeah, yeahEmbed",0.049,0.388,0.563,0.9996
3,3,Katy Perry,,All You Need Is Love,George Drakoulias,"There's nothing you can do that can't be done Nothing you can sing that can't be sung Nothing you can say, but you can learn how to play the game It's easy Nothing you can make that can't be made No one you can save that cannot be saved Nothing you can do, but you can learn how to be you in time It's easy  All you need is love All you need is love All you need is love, love Love is all you need  (Love, love, love) (Love, love, love)  All you need is love All you need is love All you need is love, love Love is all you need You might also like There's nothing you can know that isn't known Nothing you can see that isn't shown There's nowhere you can be that isn't where you're meant to be It's easy  All you need is love All you need is love All you need is love, love Love is all you need All you need is love (All together now) All you need is love (Everybody) All you need is love, love Love is all you need  Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Oh, love is (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Oh, love is (Love is all you need)Embed",0.005,0.441,0.554,0.9999
4,4,Katy Perry,,Bad Photographs,,"Your face has changed The lines are sinking in I pressed play, I should haven't Congratulations But do you ever wonder what we could have been? But your mind plays tricks with distance Always makes things feel so unfinished I miss you more than I loved you I do I miss you more than I loved you (I wonder what we could have been) I miss you more than I loved you I do I miss you more than I loved you (I wonder what we could have been) Saw a balloon floating away I thought, ""did someone let go, or did they lose it?"" So strange, you know all my secrets Please keep them safe And darling, you know I'll do the same (You know I'll do the same) The window, no longer in existence Baby, you'll always be in my orbit You might also likeI miss you more than I loved you I do I miss you more than I loved you (I wonder what we could have been) I miss you more than I loved you Oh, I do I miss you more than I loved you We were a match, but not a fake We were a dream, unrealistic We didn't lose, we didn't win (Sometimes I wonder what we could have been) oh I miss you more than I loved you Oh, I do I miss you more than I loved you (I wonder what we could have been) I miss you more than I loved you (The window, no longer in existence) Oh, I do I miss you more than I loved you (You'll always be in my orbit)Embed",0.166,0.559,0.275,0.9949
5,5,Katy Perry,,Believe,,"Take a second look in the mirror And see who you really are You've got something different about you That makes you a super star Don't act like you don't know How everyone says Face the facts, you've made it now So let go of your fears  You gotta believe-eh-eh-eh-eh In yourself You gotta believe-eh-eh-eh-eh You're the best  Glow in the dark Light all the haters Be who you are Because love is all that matters  Sometimes you take of a leap of faith And hope you land on solid ground You'll never know if you don't try And you'll be stuck in the lost and found As/rise above the groping broken crowd And find the strength inside Hear the voice from within Cause you only got one life You might also like You gotta believe-eh-eh-eh-eh In yourself You gotta believe-eh-eh-eh-eh You're the best  Glow in the dark Light all the haters Be who you are Because love is all that matters  You gotta believe-eh-eh-eh-eh In yourself You gotta believe-eh-eh-eh-eh You're the best  They try to take you down So far that you'll never be found It's time to turn around They'll try to mess you up But you're never gonna give up You're so high! Like a star! Glow in the dark Light all the haters Be who you are Because love is all that matters  You gotta believe-eh-eh-eh-eh In yourself You gotta believe-eh-eh-eh-eh You're the best  Take a second look in the mirror And see who you really are...2Embed",0.082,0.784,0.134,0.9374
6,6,Katy Perry,Witness (Deluxe),Bigger Than Me,Oscar Holter & Corin Roddick & Rachael Findlen,"I can see it happening Happen, I can see it happening Happen, I can see it  Can't go with the flow, got to make waves Even though I look at the sand, and I'm just one grain But my intuition says there's a bigger mission I must embrace So I'm, I'm pushing my thoughts to a new place  I'm kicking and screaming 'Cause it won't be easy To break all the patterns If I'm not evolving I'm just another robot Taking up oxygen  It's something bigger than me I can feel it beginning Something bigger than me Yeah, I can feel it opening Tried to ignore it But it keeps on growing Out of control It's something bigger than me And I can feel it happening You might also like So I'll speak my truth though my voice shakes (I can see it) Try to summon the strength to look fear in the face  But I'm kicking and screaming 'Cause it won't be easy To break all the patterns If I'm not evolving I'm just another robot Taking up oxygen  It's something bigger than me I can feel it beginning Something bigger than me Yeah, I can feel it opening Tried to ignore it But it keeps on growing Out of control (out of control) It's something bigger than me And I can feel it happening  Happening (Oh-ah, oh-ah, oh-ah) Happen, I can see it happening Happen, I can see it happening (Oh-ah, oh-ah, oh-ah) Happen, I can see it happening I can see it, I can see it, I can see it happening It's something bigger than me Something bigger than me Yeah, I can feel it opening Tried to ignore it But it keeps on growing Out of control (Out of control) It's something bigger than me And I can feel it happening  Happening (I can feel it) Happen, (I can see it) I can see it happening (I can feel it) Happen, I can see it13Embed",0.093,0.825,0.082,-0.7901
7,7,Katy Perry,,Birds to the Ocean,Ferras & Louis Bell & Max Martin,A hard journey traced by hope How the alignment of the stars My heart longs for something that couldn't stay A true lover of the future burned in the sand Like a scene where I just saw it in my dreams Birds fly to the ocean Just as we are genuinely free My heart keeps beating As the waves break And the winds carry All the memories that make me return to youYou might also likeEmbed,0.053,0.728,0.218,0.9274
8,8,Katy Perry,PRISM,Birthday,Cirkut & Dr. Luke & Max Martin,"I heard you're feelin' nothin's going right Why don't you let me stop by? The clock is tickin', runnin' out of time So we should party all night  So cover your eyes, I have a surprise I hope you got a healthy appetite If you wanna dance, if you want it all You know that I'm the girl that you should call (Come on)  Boy, when you're with me, I'll give you a taste Make it like your birthday every day I know you like it sweet, so you can have your cake Give you something good to celebrate  So make (So make) a wish (A wish) I'll make it like your birthday every day I'll be (I'll be) your gift (Your gift) Give you something good to celebrate  Pop your confetti, pop your Pérignon So hot and heavy 'til dawn I got you spinnin' like a disco ball All night they're playin' your song You might also like We're livin' the life, we're doin' it right (Right) You're never gonna be unsatisfied If you wanna dance, if you want it all (All) You know that I'm the girl that you should call, yeah  Boy, when you're with me, I'll give you a taste Make it like your birthday every day I know you like it sweet, so you can have your cake Give you something good to celebrate  So make (So make) a wish (A wish) I'll make it like your birthday every day I'll be (I'll be) your gift (Your gift) Give you something good to celebrate  Happy birthday So let me get you in your birthday suit It's time to bring out the big balloons (Woo) So let me get you in your birthday suit It's time to bring out the big, big, big, big, big, big balloons  Boy, when you're with me, I'll give you a taste (Oh, baby) I'll make it like your birthday every day I know you like it sweet, so you can have your cake Give you something good to celebrate (Celebrate now) Boy, when you're with me, I'll give you a taste (Celebrate now) Make it like your birthday every day (Woo) I know you like it sweet, so you can have your cake Give you something good to celebrate So make (So make) a wish (A wish) I'll make it like your birthday every day (Every day) I'll be (I'll be) your gift (Your gift) Give you something good to celebrate  Happy birthday87Embed",0.079,0.608,0.313,0.9989
9,9,Katy Perry,Much Dance 2015,Birthday (Cash Cash Radio Mix),Cirkut & Dr. Luke & Max Martin,"I heard you're feelin' nothin's going right Why don't you let me stop by? The clock is tickin', runnin' out of time So we should party all night  So cover your eyes, I have a surprise I hope you got a healthy appetite If you wanna dance, if you want it all You know that I'm the girl that you should call (Come on)  Boy, when you're with me, I'll give you a taste Make it like your birthday every day I know you like it sweet, so you can have your cake Give you something good to celebrate  So make (So make) a wish (A wish) I'll make it like your birthday every day I'll be (I'll be) your gift (Your gift) Give you something good to celebrate  Celebrate celebrate, celebrate, celebrate Celebrate, celebrate, celebrate, celebrate (Woo!) You might also like Ah Give you something good to celebrate  Pop your confetti, pop your Pérignon So hot and heavy 'til dawn I got you spinnin' like a disco ball All night they're playin' your song  We're livin' the life, we're doin' it right (Right) You're never gonna be unsatisfied If you wanna dance, if you want it all (All) You know that I'm the girl that you should call, yeah  Boy, when you're with me, I'll give you a taste Make it like your birthday every day I know you like it sweet, so you can have your cake (Hey) Give you something good to celebrate  So make (So make) a wish (A wish) I'll make it like your birthday every day I'll be (I'll be) your gift (Your gift) Give you something good to celebrate Happy birthday So let me get you in your birthday suit It's time to bring out the big balloons (Woo!) So let me get you in your birthday suit It's time to bring out the big balloons  Boy, when you're with me, I'll give you a taste (Oh, baby) I'll make it like your birthday every day I know you like it sweet, so you can have your cake Give you something good to celebrate  Ah Give you something good to celebrate So make (So make) a wish (A wish) I'll make it like your birthday every day (Every day) I'll be (I'll be) your gift (Your gift) Give you something good to celebrate  Happy birthdayEmbed",0.074,0.57,0.356,0.9992
