,Unnamed: 0,Artist,Album,Song Title,Producer,Lyrics,neg,neu,pos,compound
0,0,LUCKI,FLAWLESS LIKE ME,10 P.M IN LNDN,Mayyzo & Samsson,"(GOONTEX) Mm, ayy, ayy I'm takin' codeine to France, don't fuck with the scene but I'm off of the lean (I'm not no lame though, shoutout to Samsson) I'm in Dior with her twin, she shoppin' for two, they got it from me, uh I fell out with my mans, he know how we comin' so now we on beef She keep me out of the street, bought her a bag, I put on this top My favorite habit ain't cheap, two hundred an ounce for a four hunnid pop Free Jeff, my ho slatt, uh Niggas be cap as fuck Cut it off unless you want a friend of me, you just like twin, so that's her heart  Clearer the diamond, the lower she stoop She a beginner, start asking for shoеs He in the blendеr, I fuck with him too EFG, Dash Gang, one of the two I'm not a killer but pray for a few Don't got a plan, but that's what I— uh Sick of LA, on the way to Sky-ami She see I hurt her, you got it from Pluto (That's crazy, 'cause like, really) Huh, I was thinkin' 'bout how yesterday, if I tell her, she gon' tell me to prove it, uh I can't even get no rest today, I keep getting paid for my music, uh Medics are my first kit, ayy Few kid'll buy your bitch VVS, but I always been flawless I just really got this shit from my daddy On my first watch, almost called 'em Keep prayin' I'ma dream 'em tomorrow Said it's fuck me for one missed call, tell her Instagram, and that was forever I keep prayin' but I'm mean with the devil AMG steering wheel with the metall I can teach you, but you know better You might also like Mm, ayy, ayy I'm takin' codeine to France, don't fuck with the scene but I'm off of the lean I'm in Dior with her twin, she shoppin' for two, they got it from me, uh I fell out with my mans, he know how we comin' so now we on beef She keep me out of the street, bought her a bag, I put on this top My favorite habit ain't cheap, two hundred an ounce for a four hunnid pop Free Jeff, my ho slatt, uh Niggas be cap as fuck Cut it off unless you want a friend of me, you just like twin, so that's her heart  Ayy, ayy, ayy Free Jeff, my ho, slatt, uh2Embed",0.098,0.708,0.194,0.993
1,1,LUCKI,FLAWLESS LIKE ME,13,BrentRambo & Andrew Kiessling,"(BrentRambo)  Drop a fifty on that bitch like old Harden I get so high, I hide it from the camera so smart My favorite one gets jealous, but you got my whole heart I hit her before the threesome, since you think you so smart I'm in Houston, I feel like Aubrey, I just spoiled a ho in Ghost There's niggas in the car behind me and they don't like when you get close I pop two Roxies, feel it, all that feeling, shit be finished I pray every time I'm in it, 'cause she's so bad for me, I'm sinnin' I mess with the laws of winning 'cause all my brothers, they right here with me  How ever you comin', I'm with them, we slimin' together or you slimin' against me Man, ayy, ayy I'm in a Hawk, I could've bought a Lamb' but where I'm from this bitch a Bentley I keep talkin' 'bout this shit I am, 'cause I can't stop livin' through them lyrics I'm deadboylife on the 'Gram, so I be knowin' when they at the city Okay, okay, but look Ayy, two hundred K, four cities I probably bring her, she pretty Trackhawk lost a trooper Take that shit like Diddy I'm probably finna try to get higher, she probably finna try to get near me I'm probably on super drugs, I'm Tune, but Pluto with me From Austin selling out London From Brennan across the country From model hoes to Onyx, make one of them hoes a mama Pour every ten a bottle, still a good boy to my mama She said, ""Tune, I hate you, go mix codeine up with lava"" I just cut her off but I know I'm gon' miss the drama You might also like Shit, sheesh It's the truth though, you know me Haha Ayy, ayy, ayy Drop a— ayy, ayy  Drop a fifty on that bitch like old Harden I get so high, I hide it from the camera so I'm smart My favorite one gets jealous, but you got my whole heart I hit her before the threesome, since you think you so smart I'm in Houston, I feel like Aubrey, I just spoiled a ho in Ghost There's niggas in the car behind me and they don't like when you get close I pop two Roxies, feel it, all that feeling, shit be finished I pray every time I'm in it, 'cause she's so bad for me, I'm sinnin'  Man, man, ayy Ayy, I pray every time I'm in it, 'cause she's so bad for me, I'm sinnin' Ayy, ayy Ayy, ayy Drop a fifty on that bitch like old Harden Drop a fifty on that bitch like old Harden Step-back, walk away forever, haha You know thatEmbed",0.201,0.623,0.177,-0.9638
2,2,LUCKI,,16oz,BrentRambo,"AMG (BrentRambo) Talkin' shit as usual  In a sixteen-ounce pop, it’s two-hundred-dollar cups She gon send me love back, what expected from a slut This codeine gave me a gut, and Big Ghazi got me up Freewave threw a steppin' stone, I recouped my first month  I got two new cell phones, one for bucks, one for sluts Give my new hoe both lines, still a sucker for some love Do me dirty both times not a hunnid K to come Got my heart broke one time, monetized it madе a ton In LA not courtside And the 40s with my cuz Gotta keep it both ways I'm a weirdo with a gun Ask about thе old days, shut the party down for fun Hellcat sound like road rage, vroom vroom it made her cum Take me back to those days, want no money just  trust Can’t go back to those days jumpin' niggas on the bus My lil bitch want sola I ain't high, it ain't no good What's Miami finger lickin' Now we out west with a gun Now we my way, but I still miss the low Wockhardt on the seal take two-ninety then we gone Huh, huh, ay You might also like In a sixteen ounce pop, it's 200 dollar cups She gon' send me love back, what expected from a slut Codeine gave me a gut, Big Ghazi got me up Freewave threw a steppin’ stone, I recouped my first month, facts pussy  Ha, of fuckin’ course Woah, woah, woah, ayy Woah, ayy Of course Ha, of fucking course you would try to keep with us Every time though, AMG group home, quit being like that Copy, copy, copy, ayy Lucki and tune 808Embed",0.127,0.764,0.109,-0.1414
3,3,LUCKI,Gemini,16oz Soda,Bhristo," Aye Bhristo talk to em slime Aye 16oz in my soda And I drop 2 plus 1 Yuh, aye Aye, yuh  16oz in my soda And I drop 2 plus 1 One way trip to Neptune She wanna bring her buddy I had to pop a pill, in the restroom But they got cameras on me? Lil nigga been keepin taxin' on lean That shit petty money  Ion' really serve lean infront of my people's They might take it from me She show 200 racks at the club Say she'll get naked for it I told her ""Hi pretty girl, that's cute, you wanna make some more?"" Can't feel it i take some more That's what they made it for Servin a 8 or more Bitch fucked up, I can't be sober She'll never say it for real I'm driving I feel like I'm Will I tell you I love you, I feel it She told me ""Neptune the realest"" My struggle done led to winnings My momma, my sister, and bitches My Tracky's the one from the 'raq I'm still gon' cashapp a Bentley I say quick, you better act Big brudda, be wantin' to kill me Whatever you want it's that I'm only withholding the pack I'll never run out of drugs Yeah, say sum that I won't do You might also like Huh, yeah EFG, 500 You know that Bitch say there's no way Forever stuck in my way You love that way though Hm  16oz in my soda And I drop 2 plus 1 One way trip to Neptune She wanna bring her buddy I had to pop a pill, in the restroom But they got cameras on me? Lil nigga been keepin taxin' on lean That shit petty money  One way trip to Neptune She wanna bring her buddy One way trip to Neptune She wanna bring her buddy One way trip to Neptune She wanna bring her buddy Aye, aye Say sum that I won't do (?) You know how I'm feelin' (?)Embed",0.158,0.733,0.108,-0.9663
4,4,LUCKI,Body High,197 Trap Talk,Plu2o Nash,"Im talkin, we pullin up in fuckin' Ranges, shit is crazy They just love us b, they really love us, I'm talkin fiends every day The 197 really movin bricks the right way, surfs up baby, everybody eats 197 shit b, GetMoney$tainGang, and you tell em i said that That's what i need you to do baby...  I'm general packs, flexin prices, purchase please Give em that, get my papers, tell the law they servin me Dont call, tryna stage me up, cos im callin curtains please You hit my line, you want that flame, I'm Lil B with that certainly Im unc sam with that certain fee, dont be Wesley Snipes Come cop, dont cop from acting dealers know they Wesley Snipes I might be off the pills im servin, workin harder than a bitch Hear a siren, jock the work, im hidin harder than a snitch I tell the law to suck a dick hope they don't bust up in our trap To these junkies, I'm Yo Gotti, they all know I got that sack In fact, they know I keep my cash but dont think they gon use it They know I keep my stash but dont think that they that stupid  I mean mofuckers is really out here b Mofuckers wanna walk up to me in my thousand dollar sweatpants And say ""yo yo... whatchu you got a brick for me? you got something?"" try to pull a pistol on a nigga I said 197 bitch, get back *pop pop* (shots, body drops) everybody eats, 197 Yanno, let's get this money man, look at the Rolly, look at the Rolly ticking! Look at the Rolly ticking, this motherfucker got 6 diamonds on it and some shit b, this Outsider shit really gettin us paid, motherfuckers is really loving it... You might also like God, no rap no lie, cos i been ruining some lives And sellin it for low, and they been buying it for highs Oh well, I know its selfish but my pockets need they help- hahah I mean, the world I know is selfish but my pockets need they help Oh well I know I keep them trains on track no time for Ls I mean no well, them dealers screwin up, the main ones that get nailed And all them packages I steal from them, the same ones that get mailed Im talkin different countries Big slams, Talkin that Blake Griffin dunkin' Smooth dealer, pimp limp, talkin that Katt Williams stuntin' Im gon' waste my time, cuz I know i can buy some more As long as i keep ruining households I got support  This Yusef and I'm signing out baby, old boy shit, 1971Embed",0.162,0.749,0.089,-0.9916
5,5,LUCKI,,1 way (prove me right ˂/3),DopamineFiend,"Ayy, ayy, woah, ayy Oxythebaine Ayy, ayy, woah, ayy Everybody want me dead, one way, yo Ayy, ayy, yo, ayy  Everybody want me dead, one way on the trip, uh She play wit' my heart then ask me why I sip They left me for dead, uh, then try to sink the ship, uh She wanna taste the syrup, uh, ho kept tryna kiss, uh Tell me how you different, uh, prove just how you not, uh Who gon' fit the picture? Who alright to crop? Is it alright to miss you? Is you fuckin' opps'? Speeding in this rental, got my grandpa eyes, ayy Is it gon' fly my way, ayy, Percs' feel like true love Can't trust nothing I hate it, hate feel like true love She tryna see if I'm famous, why I just spend too much I gotta ignore myself, other me destroy myself Porsche truck drive like my dream, race you for the last of the drink She say I'm going too fast, I'm off three of them beans Can't trust nothing I hate it Can't trust nothing I hate it  Everybody want me dead, one way on the trip She play with my heart, ask me why I sip Ask me why, uh She play with my heart, ask me why I sip Everybody want me dead, one way on the trip She play with my heart, ask me why I sip Ask me why I sip Everybody want me dead, one way on the tripYou might also likeEmbed",0.167,0.675,0.159,-0.889
6,6,LUCKI,,2012 Shit (Ft. Rooski),Plu2o Nash,"You goin to find me Yeah yeah (I'm on 48th right now homie) That pack, it's smoked boy, it's dead (?) You got that pack I'm plottin' snatchin' that (I'm snatchin that) Aye aye I'm violent dunkin, boy I Shaq Attack (Shaq attack) Aye aye aye Preme draws, she gone take it off (She gone take them off) Aye aye aye My babies gone, they all in her mouth Aye (In her mouth) Kid killer, kid killer, that bitch a kid killer Aye aye Y3 pink on, feel like Cam Killa (Dipseeeet) That's not my mans, I said fuckin' get him Aye ha You think you flexin boy (What are you even flexin what you got that  and Obey bro what the fuck) Yeah (x9) Aye, you snoozin' on them xans, you walking dead (You walking dead tryna be like bossyy tryna pop xans) Aye aye aye You got the paper, I might get you there Aye aye aye I know this thotty wanna hold my hand (Lovey doveyy) Aye aye I fuck her good, then tell her get on mans (I'm a shitbag!) Aye aye Off white Chevy, cruisin' through the goat (Sawbuuuck) Oh oh oh You gotta O, Skrrt You gotta go (Stain Gaaang) Aye aye aye She say she miss me too, but I'm a ghost (I'm a ghost I'm a ghost) Aye aye aye I'm a shitbag, bitch I come and go (Come back) Aye aye aye You a yes man and I'm Son of Sam (I'm Son of Sam) Aye aye aye I know you pussy, you might call the feds (You might call the feds) Aye aye aye I heard you snitchin' boy Yeah (x4) You might also like Ya, I heard he robbed me, I'm like, ""Yeah?"" This for them rumors, I'm up at his crib Stopped being free, I'm off what OJ did Yeah (x4) That bitch fake textin' boy, she sneakin' pics Aye Couldn't get a feature, so he made a diss Little do he know the Son of Sam in love with sin Aye, perc 10, pop ten Man I gotta chill (I gotta problem) Don't know, four four, looking for a Vic Oh no, she's a goner, favin' all my pics Think he bro, he's a goner, we need all of it (We need all of that) Crybaby diva, get her gone, I'm Donovan Aye yeah I heard they want the dash (They want the dash, they want the dash?) You gotta catch the dash 24/7, 4800 You know how we *bomin'* Yeah, yeahEmbed",0.142,0.747,0.111,-0.9581
7,7,LUCKI,Freewave 3,2012 Summer,Marcusbasquiat,"High quality film, right? Yo, yo, yo, ayy, it's like would you Yo, yo, yo, ayy, it’s like would you Uh, ayy, no, not the same way Whoa, ayy, yo, yo, whoa, whoa, ayy  It's like, would you love me? No, not the same way If it get ugly, you know the gang way Like, “Show me off in public”, this a strange way Like 2012 summer how I'm movin’ in a straight 8 I hit you when I landed, lil' dummy, you a day late I be here often, your city my vacay I rocked with them last year, it's funny, we changed place I'm only on cash shit, them niggas in eighth grade Why they mad at Lucki? I'm a bodeine lover My fans worry ‘bout my health so I ain't sippin' in public Momma told me ‘bout myself, so I can't listen to nothing I need grandma picture with me, I won’t sip if she near me I can’t give a bitch the glory, this bitch think she a Britney I got bitches on my story mad at me, but who isn't? So she hit me with “What?”, you saw Sawbuck with who? I got Perky on my mental, I won’t give you a clue  Like would you, ayy, no the same way If it get, ayy, ayy, you know the gang way Like would you, ayy, ayy, no, not the, uh, yo Like would you, uh, yo, yo, yo, yo Ayy, like would you love me? No, not the same way If it get ugly, you know the gang way No, nothing from me, no, not the same way Like would you, ayy, ayy, no, not the same way Like would you, ayyYou might also like2Embed",0.126,0.723,0.151,0.8431
8,8,LUCKI,​s*x m*ney dr*gs,2021 Vibes,Cash Cobain,"Ayy, ayy, ayy Ayy, ayy (And this beat from Cash, not from YouTube) G locks for the team, but we ain't sharin’ lean Run through fifty K, I ain't say it 'cause it was easy Pretty girl, where you stayin’? Might as well be with me AMG the S, codeine cowboy in the flesh Caught up like the rest, but they look up to me Sincere but it go left, tryna burn the bridge that's left, huh Treat her like the one, tryna turn me to a two I don't keep receipts, say that shit, she knows it's true  Call me while I'm sleep, cry baby girl, I'm stuck on you Lil Slimey boy, had you up on me, ignore my calls while you in the stu' Act funny when you ain't into me, hangin’ in my circle too Miss that ho, I’m raising Hell, break a ho like Memphis Inn Bentley's talkin’ to myself, Ghazi said it's sendin' help Niggas tryna bring me down, really wanna send a belt I paid three hundred for a line, 'cause they look like they needed help How you think I’m talkin' down when I'm the one that needed help? HEMI boy but I got a driver, he know his backseat meltin' Live too fast, need a deep breath Live too fast, can't even help  Ayy, ayy Ayy, ayy G locks for the team, but we ain't sharin' lean Run through fifty K, I ain't say it 'cause it was easy Pretty girl, where you stayin'? Might as well be with me AMG the S, codeine cowboy in the flesh Caught up like the rest, but they look up to me Sincere but it go left, tryna burn the bridge that's left, ayy Treat her like the one, tryna turn me to a two I don't keep receipts, say that shit, she knows it's true I don't keep receipts, say that shit, she know it's trueYou might also likeEmbed",0.094,0.711,0.194,0.9873
9,9,LUCKI,,21,,,0.0,1.0,0.0,0.0
