,Unnamed: 0,Artist,Album,Song Title,Producer,Lyrics,neg,neu,pos,compound
0,0,MIKE DEAN,4:23,118k,MIKE DEAN,,0.0,1.0,0.0,0.0
1,1,MIKE DEAN,4:22,ADRIFT,MIKE DEAN,,0.0,1.0,0.0,0.0
2,2,MIKE DEAN,4:22,ALL EARTHLINGS,MIKE DEAN,,0.0,1.0,0.0,0.0
3,3,MIKE DEAN,4:23,Artificial Intelligence (Ft. The Weeknd),MIKE DEAN & The Weeknd & Sam Levinson,"I want you to get that robe from my closet And tie it around my face (And tie it around my face), and fuck me 'till you feel me black out  Oh-huh, oh-huh Oh, oh-oh You could have me on my knees Like I was about to pray Idolizin' at your feet Know you are so far away I will travel overseas But your heart's in another place How do I even compete? Emotionless, emotionless I'm at war with false intelligence, oh yeah They're trying to take my soul, oh They're trying to take my soul, yeahYou might also like2Embed",0.07,0.823,0.106,0.2263
4,4,MIKE DEAN,,Artificial Intelligence (OG) (Ft. The Weeknd),MIKE DEAN & The Weeknd,"Oh yeah (Oh) Oh yeah Oh yeah (Oh) Oh yeah You can hide it all from me, like I was about to fade I realize it that you’re free, now you are so far away I’ve been tryna know, you see this? But your heart’s in it, now the present Hide your worries, here for freeze But you let it, but you let it I’ve been worried soft to take a chance Oh yeah They’re trying to take my soul They’re trying to take my soulYou might also like3Embed",0.099,0.731,0.169,0.4588
5,5,MIKE DEAN,,Blues for the State of the World - Moog Mod Improve 1,MIKE DEAN,,0.0,1.0,0.0,0.0
6,6,MIKE DEAN,,Blues for the State of the World - Moog Mod Improve With Guitar Part 2,MIKE DEAN,,0.0,1.0,0.0,0.0
7,7,MIKE DEAN,4:22,CHALLENGER,MIKE DEAN,,0.0,1.0,0.0,0.0
8,8,MIKE DEAN,ECHOPLEX (LIVE 2021),CHALLENGER ECHO (Live),MIKE DEAN,,0.0,1.0,0.0,0.0
9,9,MIKE DEAN,ECHOPLEX (LIVE 2021),"CHALLENGER ECHO, Pt. 2 (Live)",MIKE DEAN,,0.0,1.0,0.0,0.0
10,10,MIKE DEAN,ECHOPLEX (LIVE 2021),CIRCLING ECHOS (Live),MIKE DEAN,,0.0,1.0,0.0,0.0
11,11,MIKE DEAN,4:22,CRYPTOSONIC,MIKE DEAN,,0.0,1.0,0.0,0.0
12,12,MIKE DEAN,ECHOPLEX (LIVE 2021),CRYPTOSONIC ECHO (Live),MIKE DEAN,,0.0,1.0,0.0,0.0
13,13,MIKE DEAN,,Dance Of The Mushroom Fairy,MIKE DEAN,,0.0,1.0,0.0,0.0
14,14,MIKE DEAN,4:22,DEEP,MIKE DEAN,,0.0,1.0,0.0,0.0
15,15,MIKE DEAN,4:23,Defame Moi (Ft. The Weeknd),MIKE DEAN & The Weeknd,"Leave me alone, leave me alone, leave me alone Leave me alone, leave me alone, leave me alone Leave me alone, leave me alone, leave me alone Leave me alone, leave me alone, leave me alone  They demonizin' my name They demonizing me They demonizin' my name, demonizing me I believe their lies, they believe their lies, they believe their lies They believe that I, they believe that I They believe so I guess I'm the bad guy, I can be the bad guy I guess I'm the bad guy, I can be the bad–You might also like3Embed",0.484,0.516,0.0,-0.9901
16,16,MIKE DEAN,"The Idol, Vol. 1 (Music from the HBO Original Series)",Devil's Paradise,MIKE DEAN & Sam Levinson,,0.0,1.0,0.0,0.0
