,Unnamed: 0,Artist,Album,Song Title,Producer,Lyrics,neg,neu,pos,compound
0,0,"Tyler, The Creator",At Your Own Risk,12:01 (Ft. MP),"Tyler, The Creator",,0.0,1.0,0.0,0.0
1,1,"Tyler, The Creator",Bodega,1234,"Tyler, The Creator",,0.0,1.0,0.0,0.0
2,2,"Tyler, The Creator",Cherry Bomb,"2SEATER (Ft. Aaron Shaw, Austin Anderson & Samantha Nelson)","Mike Einziger & Tyler, The Creator"," We can speed in my two-seater Girl, I got a two-seater Speed in my two-seater In my two-seater  About a hundred on Fax and it's easy to stop (Yeah) You see, my shit isn't stock I used to piss in a pot and now I piss on the walls But since I pissed off a cop, a couple tickets I have copped But I can pay for them all And by the model of my vehicle you know that I ball E92, but '91 the year that Tyler was spawned And if I crash, I'm owing wheels like I'm a Vaughn or a Vince, Tiptronic is stick Or automatic, you pick, shit is static as shit (Yeah) Sure my shit is AM, might get that X6 end Don't follow exit him, might take a back street hidden House got all sports cars like his garage is gym Two sapphires on him neck next his precious gems No AMG, it's M, boy, I will eat him Benz New engine, you got that old shit with those deep rims You got a warranty, don't care if you scratching rims again You might also like We can speed in my two-seater Girl, I got a two-seater Speed in my two-seater In my two-seater  Sit in my passenger seat You tell me I got too much speed And I should slow, I should slow down But I can't, 'cause you driving me wild Girl, I get a rush when we're speeding in my car And sometimes, it's too much And you can feel the beat in my heart Girl, I get a rush when we're speeding in my car And sometimes, it's too much  Yeah I know some dudes that would find you that carry rugers and shottas And fucking shoot at your Honda, then fucking zoom out in Mazdas Them GOLF boys is bad for you like the food from McDonald's Boy, I'm a king and I ain't lyin', boy, hakuna matata Better watch for them hyenas, if you flex, then they swarm They cashing so many checks, they're calling him Tyler O-Comma I'm tryna ball like I was Domo O'Connor in '09 Or probably September... Boy, I'm just rhyming these syllables, suck my genitals Album cover looking like the mascot of the timberwolves, skate park at Pemberton Hoping that I ditched the chords and go pick up the pen again 'Cause I killed the dark shit like I'm motherfucking Zimmerman Turn around and lose pounds like I'm fucking Timbaland By pounds, I mean in (*beep*) Give it 'til he cop brick like a wall with pig in it And money coming out the blue, like cops are changing fits or shit, I'm killin' it Fuck! Back when Left Brain had the hightop fade (Fade) And we would go skate on them concrete waves (Waves) And now I switch gears to hear the cylinders pump The beat thump, don't get it twisted, boy, my board's in the trunk (Skate!)  Can you roll my window up? The fuck you turn my music down for, man? Can you roll my window up? Why? Damn! 'Cause it's windy But I love it when your hair...  Blows, when it blows When your hair blows (When it blows) Hanging out the sunroof I love it when your hair blows When it blows, when it blows Hanging out the sunroof I love it when your hair blows When it blows (When it blows) When your hair blows Hanging out the sunroof Listening to Mac DeMarco Hanging out the roof window Switch to third gear turbo Skrrting on these niggas Skrrting on these bitches Listening to Mac DeMarco Hanging out the roof window Switch to third gear turbo Skrrting on these niggas Skrrting on these bitches  You can say you don't want to take that drive But your hair, it blows (It blows me away) I know we'll have a good time You just gotta stop being scared Just roll Just come and roll with me It's all good  Yeah, man, what's good, man? You good? I've been— I've been chilling, man, I've been doing some push-ups and shit For real? You know, fifty a day... Oh, w-w-wait... is that that nigga, Tyler? I think so Bitch ass, nigga, here he come to me, man Fuck this nigga, man, this— this nigga stink... Wait, be quiet, be quiet 'Ight My nigga, T, man! What's good, man? You good? Alright, I see you! I'm good, man, I'm good, I'm good Ayy, man, I see you with your little girl, she— she looks... okay Alright, y'all good, man, alright! Ayy, your feature don't start for another twenty minutes So you can go get your shit up, I can get y'all some shit... And I see you with your little jewels and shit too, man! Aw thanks, man, I'm trying, man, I'm just trying Yeah, man, let me know if you need anything I got you, just— you know... yeah Alright, um...yeah, we'll probably walk around And come back when the movie start or whenever Ight, man, I'ma see you Ight, my nigga... ight Fucking faggot, man! I swear to God! Yeah Haha, this nigga bitch weak too! Haha, yeah, she is Goddammit! I'd still fuck!69Embed",0.167,0.681,0.152,-0.9824
3,3,"Tyler, The Creator",Nilbog,35 Chambers,"Tyler, The Creator",,0.0,1.0,0.0,0.0
4,4,"Tyler, The Creator",At Your Own Risk,3-D,"Tyler, The Creator",,0.0,1.0,0.0,0.0
5,5,"Tyler, The Creator",,435,"Tyler, The Creator","Yuh, ayo Ayo  I put the feline in my hair, looking like a cheetah pet And you know they getting green if a flower on they neck If a flower on they neck hit Clancy on the text I ain't tryna check a bag, can we get another jet? I ain't gassin' niggas up, but that fuel is 50 grand Passionfruit in D.R., had me drippin' in the sand New nigga from New York, I'ma give him sticky hands Sticky fingers from the green, Jasper playing with them grams They was playing at the Gramm's, one nom ain't enough I'm a make sure that that shit ain't happening again, yuh Golf boys, it's them golf boys In that 12 seater wings looking like a hawk boy Getting to the paper better re-up on the chalkboard 'Cause the student turned into the teacher Don't talk boy, class in session 1 through 5, I'm a 7 I'm a god, nigga, ask your reverend And that crib in Bel-Air is heaven Hot-coco outta chinas, nigga, pass the beverage, yuh Comme Des on that hombre Haters with the long face New whip is Pirelli tired like a long day Big dollars, the scent Prada Skinny nigga also big poppa, women they adore me If you see me out in public, no pictures, don't record me I don't really fuck with y'all niggas, selfish at the orgy, uh You might also like Bitch One take Yuh1Embed",0.091,0.739,0.17,0.9563
6,6,"Tyler, The Creator",Wolf,48,"Tyler, The Creator","Crack fucked up the world And I wonder if they realized the damage I mean, they come from an era Who made a lot of money off that shit And I wonder if it fucked with they conscience It fucked with me being out there, I couldn't stand it I couldn't stand seeing people fucking theyselves up like that on the shit And that's where the money came from  Forty-eight, forty-eight, forty-eight states I get it in (Nigga) Forty-eight, forty-eight, forty-eight states I get it in (Nigga) They call me Mr. Treat Your Nose If you really need some blow, I can get it for the low, nigga Forty-eight, forty-eight, forty-eight states I get it in (Nigga) Forty-eight, forty-eight, forty-eight states I get it in (Nigga) They call me Mr. Treat Your Nose If you really need some blow, I can get it for the low, nigga Shit's getting warmer, on that corner Gotta watch out for them 5-0 foreigners Your mother's a goner I warned you before you supersized my fries with that dollar You got a daughter, shit's getting harder The only thing you wanna bunk her was your freedom You can't afford to get caught up but you in too deep And the seashore ain't saw ya You got a mother, she don't support you But you bought her a new house cause you love her Growing up you barely had a roof Now you got a coupe and it doesn't have a roof I guess you're accustomed what you're used to So you bought two, nigga They coming for you, nigga Niggas be hating, I'm doing them bitches Like Susan and Karen be doing your pockets And running the man and he's losing his fucking mind And it's all an illusion Who was alludin' all of this potent? I am the reason your family is using and shooting up It's my fault You can, blame me, motherfucker For killing your aunties and uncles The hustle and hunger All I wanted was a cheeseburger And a little chain, tucked Didn't realize this game fucked, up some lives Oh, how's mine? My conscience eats it up all the time but, other than that, I'm fine I got a little money in my pocket You might also like Forty-eight, forty-eight, forty-eight states I get it in (Nigga) Forty-eight, forty-eight, forty-eight states I get it in (Nigga) They call me Mr. Treat Your Nose If you really need some blow, I can get it for the low, nigga Forty-eight, forty-eight, forty-eight states I get it in (Nigga) Forty-eight, forty-eight, forty-eight states I get it in (Nigga) They call me Mr. Treat Your Nose If you really need some blow, I can get it for the low, nigga Nigga, we broke as fuck Homie got a chop shop, I stole that truck And I sold that dope, motherfuckers hope this nigga go broke But like my work, I give no fucks, I'm sorry (Yeah) She could have been a doctor, nigga, I'm sorry (Yeah, nigga) Could have been an actor and won that Oscar, said I'm sorry I sold that soap, and I killed black folk, I'm sorry (Yeah, nigga) But I got a nice car, put my sister through school While my mama all cool, I'm sorry (Yeah, nigga) I'm in too deep and I can't see the shore, I'm sorry  You get addicted to the flip, we used to call it You get addicted to the flip (I'm sorry) The, the, the, the transaction, the hustling (I'm sorry) Even more than the money, it's just your job (I'm sorry) You feel like it's your duty to be the man in between the man And make this happen for that person (I'm sorry) And to do this and do that You become the go to guy, you know, forever Next thing you know you're in too deep Way too deep, it'll scare the shit out of you You wind up with so much work, that you'd be scared to death It's important for us to realize, man, we gotta get out of that, man You know, dudes is buying choppers Shoot down the people that look just like them Dudes is buying guns to take down each other Nobody wins, ya know what I mean?69Embed",0.168,0.735,0.097,-0.9948
7,7,"Tyler, The Creator",,69,"Tyler, The Creator",,0.0,1.0,0.0,0.0
8,8,"Tyler, The Creator",At Your Own Risk,7-Up Girl,"Tyler, The Creator",,0.0,1.0,0.0,0.0
9,9,"Tyler, The Creator",,808,"Tyler, The Creator",,0.0,1.0,0.0,0.0
