,Unnamed: 0,Artist,Album,Song Title,Producer,Lyrics,neg,neu,pos,compound
0,0,Yung Lean,Total Eclipse,2 Cups,Whitearmor,"Lean, Whitearmor Lean, Lean Two pills, two cups, two cups stuffed (Stuffed) Two cups stuffed  She want me gone Been here too long Stacks up, gettin' high 'Bout to lose it, 'bout to lose it  Two pills, two cups, two cups stuffed (Stuffed) Rainbow, tangerine my blunt Got my Margiela right, I don't pay none I don't pay none, I feel like I'm the Pope  You and me, not the same These games you play In my head all day 'Bout to lose it, 'bout to lose it, yeah (Gone, gone on me You gone, gone on me You gone, gone on me You gone) You might also like Two, two, two pills, two cups, two pills stuffed (Stuffed) Two pills, two cups, two cups stuffed (Stuffed) Rainbow, tangerine my blunt (Blunt) Got my Margiela right, I don't pay none I don't pay none, I feel like I'm the Pope  I don't pay none, I feel like I'm the Pope Pop pills, running through the city in a scope Scope and we blow and we smokin' on the dope From the backstreets, yeah, you already know I don't pay none, I feel like I'm the Pope I don't pay none, I feel like I'm the Pope I don't pay none, I feel like I'm the Pope  Pope, feel like I'm the Pope Feel like I'm the Pope Feel like I'm the Pope4Embed",0.132,0.791,0.077,-0.9471
1,1,Yung Lean,,3D Spaceship,DJ Smokey,"Sadboys ecstasy Rollin up blunts, get mine for free Got that candy and that ketamine MDMA and that mescaline Yellow powder methamphetamine Got that opium and that angel dust All these girls wanna roll with us Yung Lean straight up penetrating Intoxicated, medicated I stay so motherfucking stupid faded Fuck that ho in the pussy and stay there Damn I'm on this Black Russian I'm tripping off this liquid acid Blunt's passing, I just had it I just had it, what? I just had it  I'm not human, I'm just Lean 3D spaceship, I'm just me Let me save you, let us be Shawty I just wanna come clean I'm not human, I'm just Lean 3D spaceship, I'm just me Let me save you, let us be Shawty I just wanna come clean You might also like Yung lean, young man, freestyle Bitch my wrist got a fistful Of diamonds Inside that cash are my motherfucking initials Lean shot, that bitch flow Yup cause I’m 'bout to spit gold I hop out the Lamborghini Pupils so big you can't even see me ADHD, LSD All these hoes want my peepee In a jar where they can save it I'll fuck you if you take off your bracelet And then I'll fuck your face off I'm John Travolta and you're just a little dick chaser I'm the fucking dictator  Sadboys ecstasy, rollin' up blunts, get mine for free Got that candy and that ketamine MDMA and that mescaline Yellow powder methamphetamine Got that opium and that angel dust All these girls wanna roll with us Yung Lean straight up penetrating Intoxicated, medicated I stay so motherfucking stupid faded Fuck that ho in the pussy and stay there Damn I'm on this Black Russian Tripping off this liquid acid, liquid acid I'm not human, I'm just Lean 3D spaceship, I'm just me Let me save you, let us be Shawty I just wanna come clean I'm not human, I'm just Lean 3D spaceship, I'm just me Let me save you, let us be Shawty I just wanna come clean14Embed",0.142,0.741,0.118,-0.9409
2,2,Yung Lean,Starz,Acid at 7/11,Whitearmor,"She don't wanna change on me She don't wanna change on me  Yeah, she know I slay, she wanna come with me, ayy Crowns upon my sleeve and she don't wanna see me (See me) Addicting personality, she wanna be with me (Free Lean) Shakey when I run off (I'm a fiend) I'm a fiend, yeah (I'm a fiend) I don't keep change on me She don't wanna change on me, (Hell no) Chains on me, they won't hate on me, hate on me (No, they won't) You ain't gotta pay for that, baby, yeah, it's free, ayy DG, they with me, D&G on our jeans (Ayy, ayy) Vivi on my neck, Vivi on my sleeve (Westwood) Me and Ecco off Acid in a dream (In a dream) Run away with me to crystal city Off a Perc' I fly, I can't, I can't feel my knees (I'm so gone)  Ayy, I'm off acid at 7-Eleven Acid at 7-Eleven, acid at 7-Eleven (I'm so gone) Ayy, I'm off acid at 7-Eleven Acid at 7-Eleven, acid at 7 (Hell no) Ayy, I'm off acid at 7-Eleven Acid at 7-Eleven, acid at 7-Eleven (I'm so gone) Ayy, I'm off acid at 7-Eleven Acid at 7-Eleven, acid at 7 (Hell no) You might also like Hate on me, know they won't They only love you when you gone, I was wrong (I can see that now) This town is evil, yeah, I know (Know) Ten bags, Disney pills, missin' you when you goin' home Who you worship when you're all alone? (Alone) Janitor Lean, I found keys to all the locks (Ayy) I'm in it to win it, I said fuck, what it cost? I sold my soul when I was very young (Yeah, yeah) I'm so gone (Ayy)  Now I'm outside of 7-Eleven Knock, knock and I'm goin' to Heaven Acid at 7-Eleven (In the rain, in the rain) (I'm so gone)  Ayy, I'm off acid at 7-Eleven Acid at 7-Eleven, acid at 7-Eleven (I'm so gone) Ayy, I'm off acid at 7-Eleven Acid at 7-Eleven, acid at 7 (Hell no) Ayy, I'm off acid at 7-Eleven Acid at 7-Eleven, acid at 7-Eleven (I'm so gone) Ayy, I'm off acid at 7-Eleven Acid at 7-Eleven, acid at 7 (Hell no) (Hell no) Acid at 7-Eleven, acid at 7-Eleven Ayy, I'm off acid at 7-Eleven (In the rain, in the rain) Acid at 7-Eleven, acid at 7-Eleven Ayy, I'm off acid at 7-Eleven (In the rain, in the rain)14Embed",0.135,0.764,0.101,-0.966
3,3,Yung Lean,Warlord,AF1s (Ft. Ecco2k),Yung Sherman & Gud,"Six Air Force 1s, I got Air Force on Put the mask on, shawty, shawty, what you want? Six Air Force 1s, I got Air Force on Put the mask on, shawty, shawty, what you want? Six Air Force 1s, I got Air Force on Put the mask on, shawty, shawty, what you want? Six Air Force 1s, I got Air Force on Put the mask on, shawty, shawty, what you want?  B— B— Bitch it's lil' Lean, emperor of the city Silver rings on, sitting on fifty Blowing on winter, icy like a stunner Looking like winter, temperature like the summer Chain like a seahorse, is that really Leandoer? All white Dior, all I wear is neon Catch me on my Samsung, SBE anthem I be in the night creepin' 'round like the phantom  Six Air Force 1s, I got Air Force on Put the mask on, shawty, shawty, what you want? Six Air Force 1s, I got Air Force on Put the mask on, shawty, shawty, what you want? Six Air Force 1s, I got Air Force on Put the mask on, shawty, shawty, what you want? Six Air Force 1s, I got Air Force on Put the mask on, shawty, shawty, what you want? (Want) You might also like Airbrushed Aerox like I'm nineteen Light speed, color lime green, look like ice cream Light beam, Cola Light stream on your white jeans Five ki's and my eyes bleed on the Nikes Headlock, scope, red dot, it's a headshot Shell shock, do the airdrop, I got dead stock Flood light, purple drug, Sprite, that's my blood type I wish none of this was real life, burning sunlight  You don't know what I'm up to You don't talk about it 'less you do Got a flight crew, we Sky Team Seen you 'round town, got bad dreams It's that weed and purple we up to Just got a bunch of 'em Nike shoes I make money, my whole crew do It's Sadboys, we'll fuck you  A— A— Air Force 1s, I got Air Force on Put the mask on, shawty, shawty, what you want? Six Air Force 1s, I got Air Force on Put the mask on, shawty, shawty, what you want? Six Air Force 1s, I got Air Force on Put the mask on, shawty, shawty, what you want? Six Air Force 1s, I got Air Force on Put the mask on, shawty, shawty, what you want?19Embed",0.043,0.854,0.104,0.886
4,4,Yung Lean,Warlord,Afghanistan,Whitearmor & Gud,"Yung Leandoer Shawty, you know what it do 2015, MIA, skrrt  'Cause I keep that kush up on me, keep that kush up on me 'Cause I keep that kush up on me, kush from Afghanistan Keep that kush up on me, keep that kush up on me 'Cause I keep that kush up on me, kush from Afghanistan  'Cause I keep that kush from Afghanistan and I smoke that OG I'm fucked, I roll, posted up in the cold I'm a cannon, I'ma blow, dirty jeans on my bodyguard I'll take ya to the cold, yeah, I'll take ya to the cold (Keep that)  'Cause I keep that kush up on me, keep that kush up on me 'Cause I keep that kush up on me, keep that kush up on me 'Cause I keep that kush up on me, keep that kush up on me 'Cause I keep that kush up on me, keep that kush up on me  Gl— Gl— Gl— Gl— Glass interior, yeah, I broke the barrier I don't want that shawty, yeah, you should go and marry her I'm on my cellular, we rollin' Jheri curls Yeah, I'm elegant for the hell of it Roll that shit, water it like a fish and sell that shit Twelve a bag, twelve a bitch, Acne jeans, I'm on my shit Sewer cup, double up, James Bond, hit and run Hit 'em up, fuck my guts, I'm in it for the fuckin' lunch Captain Crunch, blowin' bubble gum, pitbull jaw on the hunt Mind of a maniac, money on my mind Had to leave that place, couldn't take it at the time Now I'm on my fuckin' grind, yeah, I'm on my fuckin' grind (Leandoer) You might also like 'Cause I keep that kush up on me, keep that kush up on me 'Cause keep that kush up on me, kush from Afghanistan Keep that kush up on me, keep that kush up on me 'Cause I keep that kush up on me, kush from Afghanistan 'Cause I keep that kush up on me, keep that kush up on me 'Cause I keep that kush up on me, kush from Afghanistan Keep that kush up on me, keep that kush up on me 'Cause I keep that kush up on me, kush from Afghanistan  I'm fucked, I roll, posted up in the cold Yeah, I'm fucked, I roll kush from Afghanistan Fucked, I roll, posted up in the cold Yeah, I'm fucked, I roll kush from Afghanistan21Embed",0.142,0.786,0.071,-0.9895
5,5,Yung Lean,Stranger,Agony,Gud,"Take a pill and go to sleep I'm chasing witches in the street I'm the last page in your book Can't write a song, only do hooks Watching horses in the fields The dragon rests in agony When I'm afraid, I lose my mind It's fine, it happens all the time When I'm afraid, I lose my mind It's fine, it happens all the time  Isolation caved in I adore you, the sound of your skin  So many lies that I found Blood, Heaven, I stick to the ground So many times I realized What I seek for is right in front of my eyes I'm alone in a hole in the ground A theatre of dogs is still around My furniture has come alive I'm dancing with a candlestick tonight Flying kites, raven outside my window Smiles with fright You might also like Isolation caved in I adore you, the sound of your skin Isolation caved in I adore you, the sound of your skin Isolation caved in I adore you, the sound of your skin  Iso-isolation caved in Iso-isolation caved in Iso-isolation caved in I adore you, the sound of your skin The sound of your skin101Embed",0.12,0.73,0.149,0.8137
6,6,Yung Lean,Stardust,All the things,Woesum & Whitearmor & Jack Donoghue & Fredrik Okazaki,"Stardust Everything, everything you say you are Everything, everything, e— everything, everyth—  I would take it back if I had more time I would kill for you, I don't wanna see you die Champagne glasses, hotel lounge I would take it back if I had you now Love swimming backstroke through your bloodline We the chosen ones in life this one time Moths midnight, moths in the sunshine Yeah, you make me smile even though it don't feel right Sideways crooked eyes, crooked eyebrows New life stream, yeah, baby, let it shine  All the things you said, all the things you said, don't wanna see you cryin' All— all— all the things you said— all the— all the things you said— see you cryin'  I see... See my... She knows me too Take me there Take me there You might also like I feel your skin changing 'round me Here, come and follow me to paradise I feel your skin changing 'round me Here, come and follow me to paradise  Everything, everything you say you are Everything, everything, e— everything, everyth—1Embed",0.045,0.814,0.14,0.948
7,7,Yung Lean,Frost God ,Back at It,Gud,"I'm back at it, yeah, I'm back at it In a Range Rover, Givenchy backpackin' With two crack addicts, yeah, they back at it In the club, jetski, throw it back a bit I'm back at it, yeah, I'm back at it In a Range Rover, Givenchy backpackin' With two crack addicts, yeah, they back at it In the club, jetski, throw it back a bit  I'm Darth Vader in this shit get your head up (Get your head up) Need more coke, need more pills, need my bread up (Need my bread, bread) I'm the spider on your skin, you a bedbug (You a bedbug) Always talking all this shit but you a big bluff (Big bluff, bluff, bluff) Tryna get rich in my town, you can text us (Text us) Yoshi City, never learn with you, I'm fed up (Yoshi City) She go down, so deep down, she get her head stuck (Head stuck) Baby girl, I'm with you, I can't switch up (I can't switch up) I'm with my bros, hell yeah, they my big ones (My big ones) I'm the youngest in this shit but I got big bucks (Got big bucks)  I'm back at it, yeah, I'm back at it In a Range Rover, Givenchy backpackin' With two crack addicts, yeah, they back at it In the club, jetski, throw it back a bit I'm back at it, yeah, I'm back at it In a Range Rover, Givenchy backpackin' With two crack addicts, yeah, they back at it In the club, jetski, throw it back a bit You might also like Cash Get the buck R.I.P Look I'm up L-L-Leandoer Bitch What the fuck? You want to? Backpack a bit, stackin' Get your fuckin' , skrrt5Embed",0.102,0.803,0.094,-0.8582
8,8,Yung Lean,,Bathtub,Whitearmor,"THC, shawty wanna come with me Pull off floatin' hoverboard, damn no one can run from me Blowin' THC, shawty wanna come with me Pull off floatin' hoverboard, damn no one can run from me Blowin' THC, shawty wanna come with me Pull off floatin' hoverboard, damn no one can run from me Blowin' THC, shawty wanna come with me Pull off floatin' hoverboard, damn no one can run from me  On my TV-screen, out in Sicily All these fuccboi's mad I don't give a fuck cause I am doing me Bitch it's little Lean, dirty money stay clean Keep textin' me, and calling me and I'm off the next flight its not hard for me Bitch we SBE, Y-3’s and Louis V I’m blowin' green on my iPhone, and my whole team out in Italy Check my steez, you don't want to fuck with me Only thing I love is my fans and friends and my mom and my family Blowin' THC, bag full of LSD When I look around, all I see is little kids that wanna act like me You know me, walkin' in the streets and steal the snow soldiers And I mute my volume to think of me I'm blowin' THC, I think she's still into me, I'm poppin' Shawty, she wanna roll with me I'm blowin' THC, shawty wanna come with me Like floatin' love, look down at the floor Damn no one can run from me You might also like THC, shawty wanna come with me Pull off floatin' hoverboard, damn no one can run from me Blowin' THC, shawty wanna come with me Pull off floatin' hoverboard, damn no one can run from me Blowin' THC, shawty wanna come with me Pull off floatin' hoverboard, damn no one can run from me Blowin' THC, shawty wanna come with me Pull off floatin' hoverboard, damn no one can run from me7Embed",0.169,0.752,0.078,-0.9804
9,9,Yung Lean,,BATHTUB/SUICIDE MASHUPS,Yung Sherman & Whitearmor,"Blowing THC, shawty wanna come with me (Aaah) Pull up, floating hoverboard, damn no one can run from me (Aaah) Blowing THC, shawty wanna come with me (Aaah) Pull up, floating hoverboard, damn no one can run from me (Aaah) Blowing THC, shawty wanna come with me (Aaah) Pull up, floating hoverboard, damn no one can run from me (Aaah) T-T-THC, shawty wanna come with me (Aaah) Pull up, floating hoverboard, damn no one can run from me (Aaah)  On my TV screen (On my TV screen!) I'm in Sicily (I'm in Sicily!) All these fuckboys mad I don't give a fuck 'cause I'm doing me (L-Lean, L-Lean) Bitch, it's Lil Lean Dirty money, stay clean Keep textin' me, and calling me I'm off to the next flight, it's not hard for me Bitch, we SBE Y-3's and Louie V I’m blowin' green on my iPhone and my whole team out in Italy Check my steez, you don't want to fuck with me Only thing I love is my fans and friends and my mom, my family  THC, shawty wanna come with me (Aaah) Pull up, floating hoverboard, damn no one can run from me (Aaah) Blowing THC, shawty wanna come with me (Aaah) Pull up, floating hoverboard, damn no one can run from me (Aaah) Blowing THC, shawty wanna come with me (Aaah) Pull up, floating hoverboard, damn no one can run from me (Aaah) Blowing THC, shawty wanna come with me (Aaah) Pull up, floating hoverboard, damn no one can run from me (Aaah) You might also like Família TM Produções Ja disse que não vamos morrer  I said don't fuck with my money man All my clothes Italian Rhinestone ice when we cruising round like Batman Finna find the other side Lean, I'm never satisfied Pink Polo, dirty money, all I see is suicide Goodbye (Goodbye, goodbye) All I, all I see is suicide All I, all I see is suicide Finna find the other side Lean, I'm never satisfied Pink Polo, dirty money, all I see is suicide  I said don't fuck with my money man All my clothes Italian Rhinestone ice when we cruising round like Batman Finna find the other side Lean, I'm never satisfied Pink Polo,  dirty money, all I see is suicide Boom (Boom, boom, boom) All I, all I see is suicide All I, all I see is suicide Finna find the other side Lean, I'm never satisfied Pink Polo,  dirty money, all I see is suicide Goodbye (Goodbye, goodbye)Embed",0.225,0.714,0.061,-0.9975
